48,0.5,10,22,0.2,0
1.8137-0.58078i	-0.57679-2.5195i	-2.6482+0.94127i	0.53013+3.2468i	3.2448-0.92258i	-0.50616-3.7409i	-3.8353-0.28829i	-0.29951+3.7822i	3.9938+1.042i	1.8613-3.891i	-3.6086-3.0081i	-3.3346+2.6205i	2.0963+3.8667i	4.7315-0.91825i	0.098049-4.8346i	0.80597-4.4227i	-4.4183-1.8802i	-2.711+3.8052i	2.6707+3.6175i	4.0974-2.2126i	-0.77434-4.4192i	-4.2213+0.21114i	0.168+4.5297i	4.4386+0.96742i	1.1868-3.8065i	-3.6111-1.0576i	-0.66545+2.7874i	2.5423+0.92682i	0.33364-2.3883i	-1.3203-0.14146i	0.46567+5.6925i	7.2924-0.61449i	-0.98638-9.0614i	-9.2649+0.353i	0.54006+9.9218i	9.3596+0.7584i	2.2734-9.0908i	-7.9933-2.9921i	-3.8218+6.5927i	5.5682+5.239i	6.2965-4.014i	-2.6887-7.1725i	-6.911+0.92814i	-0.63104+6.7749i	6.1822+1.9421i	5.2917+3.5238i	4.5902-4.5088i	-3.2964-5.5476i	-6.1976+1.4587i	0.32706+6.1974i	6.1651+1.2235i	2.6072-6.0666i	-5.7641-3.7123i	-5.0474+4.9056i	3.9381+5.443i	5.7744-3.987i	-3.1648-5.5262i	-5.1396+3.0351i	2.0935+4.8191i	3.1128-1.9364i	0.41089+0.75865i	1.0954-0.45713i	-0.5855-1.2801i	-1.5278+0.64501i	0.22606+1.3979i	1.1117-0.38301i	-0.58002-1.1578i	-1.0824+0.30711i	0.27942+1.2942i	1.0648+0.32597i	0.56565-1.1317i	-1.281-0.61141i	-0.58415+1.2737i	1.1637+0.79641i	0.933-0.78167i	1.1531-0.81394i	-0.82213-1.3532i	-1.3598+0.48993i	0.43572+1.7676i	1.499-0.20746i	-0.039934-1.7659i	-1.75-0.035941i	0.096269+1.9647i	1.785+0.35174i	0.70319-1.8486i	-2.0024-0.58443i	-0.3259+1.534i	1.5242+0.64076i	0.67864-1.0502i	-0.68804-0.20648i
0.17286+1.4959i	2.1805+0.042096i	0.48975-2.9533i	-2.9866-0.83479i	-1.4391+2.9742i	2.443+1.9461i	2.737-2.2958i	-1.7742-2.6134i	-2.971+1.2308i	0.22501+2.9642i	3.6153+0.1708i	1.3866-4.0721i	-3.8329-2.546i	-3.4752+3.5293i	2.662+4.1646i	1.3662+5.3517i	6.4993-0.15792i	1.6552-6.6638i	-6.6721-3.3178i	-4.6473+5.8663i	4.8974+6.3637i	8.4075-3.4807i	-1.4096-9.6301i	-10.712-0.80448i	-2.932+10.287i	10.458+4.4485i	4.7051-9.3011i	-8.8916-5.3803i	-5.7358+6.2956i	5.0039+4.1017i	3.1575+4.5014i	6.008-3.8856i	-4.643-7.4249i	-7.7776+3.341i	3.592+8.7372i	8.8994-1.7119i	-0.14524-8.7629i	-7.7971-1.2196i	-2.2824+7.0982i	5.8272+4.2181i	5.3742-4.524i	-3.3277-6.2233i	-6.2793+1.4934i	-0.17619+6.5738i	5.8382+1.6237i	4.9294+3.2091i	4.3822-4.2407i	-2.8985-5.3469i	-6.2987+1.2729i	0.069914+6.2378i	6.1705+1.8297i	3.3145-6.0019i	-5.6524-4.5869i	-6.1539+4.8135i	3.5382+6.7552i	7.354-3.3683i	-2.1771-6.701i	-7.0434+1.6699i	0.96538+6.497i	4.4737-1.1182i	-1.4002+2.2368i	2.8215+2.3182i	2.7034-3.4181i	-3.8756-2.7163i	-3.5658+3.6887i	2.714+3.4477i	3.4623-2.4584i	-1.518-3.8475i	-3.6716+0.6659i	-0.44962+3.6502i	3.5215+1.5258i	2.278-2.9338i	-1.9034-2.7474i	-2.8573+1.2494i	0.50931+2.9953i	-0.32022+2.8222i	2.1331+0.98831i	1.2609-1.5474i	-0.8762-1.428i	-1.3511+0.43551i	-0.30692+1.1099i	0.46782+0.49018i	0.95058+0.0051077i	0.18724-0.6791i	-0.37697-0.85884i	-1.5516+0.79211i	0.61613+1.279i	1.3786-0.24329i	0.17998-1.2154i	-0.61586+0.41183i
0.43151+3.9233i	5.596-0.044362i	0.18494-7.6923i	-8.1059-1.568i	-2.357+9.5843i	9.0352+4.8308i	7.2146-8.3295i	-7.2271-8.5068i	-10.544+5.2217i	1.6289+11.67i	13.013+1.2107i	4.7253-13.035i	-11.779-8.3127i	-11.974+9.5945i	6.1073+13.642i	2.2117+15.383i	16.951+1.8665i	6.2011-15.979i	-13.582-10.286i	-12.723+10.898i	6.9202+15.456i	17.385-3.5918i	0.088715-18.57i	-19.065-4.5901i	-7.4903+16.11i	15.72+9.3886i	9.0511-13.355i	-12.443-9.4252i	-9.2289+8.7288i	6.2782+6.2412i	4.4668+0.37484i	0.61144-6.0556i	-7.1932-0.64697i	-1.2081+6.6734i	7.5082+2.098i	3.4829-6.3421i	-5.6502-4.3887i	-4.7708+4.3859i	3.0549+5.7823i	5.9898-0.65173i	0.89796-5.8494i	-5.6021-2.4276i	-3.9356+4.2173i	2.908+5.3627i	5.5773-1.0514i	5.3386+0.96406i	2.7223-5.2511i	-3.8459-4.2625i	-5.7393+2.2655i	0.6937+6.0238i	6.0679+1.4587i	3.5163-5.9177i	-5.4629-4.8678i	-6.7022+4.1342i	2.9608+7.3964i	8.0941-2.1895i	-0.76913-6.6931i	-7.678-0.015271i	-0.16028+6.6007i	4.5516-0.021951i	-1.6155+1.033i	1.4887+2.6269i	3.0193-1.3879i	-1.7524-2.8841i	-3.5845+1.3933i	0.6967+3.1611i	2.7151-0.48993i	0.21067-3.0495i	-2.6535-0.97109i	-1.6351+2.0109i	1.7614+2.1925i	2.7971-1.1031i	-0.36346-2.8332i	-2.6664-0.30743i	-0.73922+2.4365i	-1.3664+2.4544i	1.5492+1.9973i	1.8936-0.67913i	-0.10969-2.1568i	-1.9981-0.050443i	-0.65389+1.8093i	1.1655+0.73861i	0.95587-0.85908i	-0.87101-1.1202i	-0.63085-0.14057i	-0.52371+0.64361i	1.0629+0.24453i	0.11941-0.59764i	-0.0022048-0.59418i	0.16365+0.39641i
0.66574+3.0746i	4.4132-0.684i	-0.52351-5.7044i	-6.2453-0.39858i	-0.76494+7.689i	7.4203+2.9213i	4.9264-6.9205i	-6.1001-6.446i	-7.9524+4.3682i	1.5204+9.1167i	9.9078+0.95155i	3.6857-9.5115i	-8.2127-6.3428i	-9.2421+6.2368i	3.4283+10.009i	0.28205+10.741i	11.253+2.8624i	5.7415-9.8057i	-7.0786-8.1604i	-9.268+4.7831i	1.4556+10.22i	10.17+1.0912i	3.6876-9.866i	-8.9136-6.3204i	-7.6892+5.404i	4.9034+8.0943i	7.675-3.2535i	-2.4078-6.9466i	-6.4579+0.72855i	0.17518+4.6374i	0.44868-2.8487i	-3.9508-1.226i	-1.3989+4.8067i	4.6187+2.3687i	3.0771-4.6522i	-3.6101-3.6976i	-4.3934+2.8641i	1.701+4.7161i	4.5893-0.25702i	1.215-3.7939i	-3.4383-2.1921i	-3.0807+2.5883i	1.0826+3.4043i	3.7484+0.29113i	1.623-3.1056i	2.3309-2.2597i	-1.2763-3.2277i	-3.0493+0.0061922i	-1.3111+2.7942i	2.109+2.062i	2.7208-1.3744i	0.040926-3.2721i	-3.4939-0.86181i	-2.093+2.8848i	3.2528+2.9168i	3.6101-2.1492i	-1.4147-2.8612i	-3.6895+0.82261i	1.1507+2.8295i	1.8807-0.62223i	0.68498-0.3112i	0.14877-0.78991i	-0.86854+0.24756i	-0.084018+0.98295i	0.7191+0.29815i	0.53893-0.56834i	-0.76504-0.53303i	-0.57887+0.18351i	-0.12968+0.41003i	0.3779+0.07306i	0.48485-0.45207i	0.11484-0.40772i	-0.7083-0.085918i	-0.41498+0.29525i	0.39883+0.56103i	0.20627+1.0266i	0.88261+0.22832i	0.15402-0.50725i	-0.29886-0.58748i	-0.83707+0.51728i	0.47253+0.88109i	0.70573-0.41544i	-0.31486-1.0102i	-1.2732-0.17513i	0.027552+0.62707i	0.88371-0.5256i	0.65324-0.8517i	-0.87531+0.028827i	-0.12414+0.16863i	1.005-0.03894i
0.2654+0.86831i	1.2405-0.47132i	-0.21327-0.90799i	-1.0191+0.47713i	0.45905+1.0186i	0.73382-0.26169i	-0.029667-0.74041i	-0.61546-0.03246i	0.36249+0.22944i	0.23541-0.4111i	-0.57699-0.26392i	-0.3392+1.0424i	1.4336+0.72337i	0.9227-1.4868i	-1.4978-1.6996i	-1.4158-2.3377i	-2.9958+0.9338i	0.24531+3.7855i	4.2197+1.1341i	1.8589-4.0993i	-3.7011-3.4805i	-4.8358+3.5437i	3.3171+6.0567i	7.6248-1.9915i	-1.2025-8.5916i	-8.7817-0.15959i	-0.15051+8.6093i	8.7461+1.4699i	1.531-7.4075i	-5.549-0.35i	-5.2933-1.8042i	-2.8355+6.6431i	8.1158+3.3223i	3.9938-6.9589i	-7.1935-4.9903i	-5.7143+5.7729i	4.6103+6.6388i	6.5149-2.7333i	-1.1735-6.5596i	-6.2377-0.67155i	-2.5958+5.4223i	4.7651+3.9488i	4.6457-3.0279i	-1.3193-5.3593i	-4.5481-0.29551i	-4.0425-1.9042i	-2.8946+3.3644i	2.2848+3.6799i	3.9508-0.87644i	0.090916-3.9786i	-3.5476-1.6018i	-2.1292+2.9594i	2.3193+2.7422i	3.3692-1.7953i	-0.05348-3.1302i	-3.0421+0.66453i	0.023679+2.3541i	2.5603-0.00708i	0.77715-2.5304i	-1.7466-0.54854i	2.0669+0.97917i	1.7077-2.9184i	-2.9465-2.0355i	-2.4307+2.9185i	2.7152+3.1834i	3.5797-1.7679i	-1.1087-3.5558i	-3.5163+0.29972i	-0.80276+3.3463i	2.8352+1.5722i	2.4177-2.4228i	-1.4567-2.7713i	-3.3327+0.93159i	0.0093355+2.8013i	2.7626+0.84632i	2.3858+1.5681i	2.0506-1.8602i	-1.2152-2.0348i	-1.905+0.47556i	-0.0061119+1.9937i	1.8791+0.23205i	0.39526-1.6238i	-1.3118-1.0279i	-1.1322+0.65961i	0.54331+1.1367i	1.5099-0.92364i	0.16751-1.0327i	-0.46541+0.31243i	-0.49345+0.16077i	0.75745-0.23961i
0.69614+1.5342i	2.1717-0.84893i	-1.1279-2.1944i	-2.1851+1.5484i	1.479+1.9722i	1.8368-1.6543i	-1.7801-2.2835i	-2.4666+2.1873i	2.2778+2.558i	3.3514-2.1616i	-1.6934-4.3604i	-5.0936+0.98024i	0.14418+5.7747i	6.2613+1.2158i	2.3423-6.2373i	3.7981-6.0661i	-5.5705-5.9182i	-7.264+4.7847i	2.6006+9.0716i	9.1464-0.8883i	1.9743-10.21i	-10.201-3.7884i	-5.579+10.229i	10.082+8.2232i	9.3002-8.4145i	-8.1069-10.494i	-9.5728+7.1497i	6.6521+10.246i	9.1639-4.7734i	-3.5891-5.7866i	-6.341+1.4318i	1.5279+8.6718i	10.53-1.8692i	-0.84684-10.523i	-11.382-0.0080803i	-1.6523+10.848i	10.531+3.5189i	4.9636-8.8308i	-7.32-6.3878i	-8.2855+4.8191i	2.2746+8.5271i	9.3585+0.2917i	2.5893-8.212i	-7.1181-5.3346i	-6.2287+4.9544i	-7.0836+2.5629i	0.65575+7.857i	7.456+1.8785i	3.802-6.2288i	-4.9355-5.4321i	-6.3637+2.9931i	1.5568+6.9473i	7.2207+0.16153i	2.0647-7.0929i	-6.0971-3.0162i	-3.8849+5.998i	4.7045+2.978i	4.0703-4.3317i	-3.19-3.6474i	-2.4462+1.8887i	0.19258+2.1445i	2.6127-0.42102i	0.094853-3.2876i	-3.4786-0.014245i	-0.47012+3.8105i	3.499+0.99061i	1.5105-3.3341i	-2.87-1.8824i	-2.4251+2.3541i	1.3092+2.8583i	3.0312-0.52993i	0.16597-3.0519i	-3.0408-0.61518i	-1.01+2.3638i	2.1566+1.6411i	1.6849+2.1176i	2.1863-1.1747i	-0.38111-1.9691i	-1.8034-0.066289i	-0.24765+1.6896i	1.2718+0.2332i	0.38006-1.0134i	-0.61528-0.64014i	-0.51417+0.1183i	0.3692+0.74758i	0.71503-0.10732i	0.22223-0.50683i	0.23387-0.21799i	-0.51033-0.16097i	-0.084312+0.032197i
1.9104+3.6497i	5.3014-2.2891i	-3.349-6.7664i	-7.2824+3.1066i	3.0401+8.2669i	8.5998-1.9318i	-0.96226-9.3967i	-9.5373+0.15945i	-1.7751+9.2842i	8.8712+3.541i	5.5519-8.7066i	-7.8188-7.8261i	-9.4847+6.2517i	4.2269+10.889i	11.274-2.0299i	11.439+0.28845i	3.2081-12.305i	-11.562-5.4384i	-8.4676+10.459i	8.4901+9.7902i	12.106-6.5181i	-4.2436-13.563i	-14.752+2.4392i	-0.29387+15.534i	14.983+2.2289i	3.1329-14.774i	-12.841-3.0945i	-3.75+12.362i	10.392+3.8403i	2.312-7.2869i	-1.619+2.6455i	3.5599+2.5284i	2.9387-4.1405i	-3.7119-3.7339i	-4.1499+3.9278i	3.2428+4.7105i	5.4389-2.5286i	-1.0881-5.2472i	-5.5211+0.11543i	-1.9892+5.0934i	4.5805+2.5894i	4.2412-3.3717i	-2.3579-4.7464i	-5.4206+0.29264i	-1.0864+5.1517i	-2.4598+4.6872i	3.9977+3.7986i	5.0137-2.4287i	-1.0858-5.3606i	-5.4287-0.71023i	-2.0826+5.1993i	4.9617+3.2696i	4.5029-3.873i	-2.8577-5.5226i	-6.1644+1.6316i	0.62279+6.0391i	5.4822-0.63072i	0.36005-5.3576i	-4.6275-0.31901i	-0.33564+2.9083i	-1.981+0.99807i	0.72445+2.6164i	3.1913-0.85763i	-0.58698-2.9373i	-3.4094+0.34348i	-0.32581+3.0462i	2.5621+0.48195i	0.78354-2.2443i	-1.7813-1.3038i	-1.9181+1.3602i	0.7166+2.1134i	2.0162-0.19415i	0.15077-1.7425i	-1.2285-0.59948i	-0.58132+1.004i	-0.67339+1.0029i	0.41251+0.97564i	1.0299+0.016523i	0.11585-0.72952i	-0.58561-0.1936i	-0.42257+0.30066i	0.1722+0.4085i	0.68626+0.059119i	0.15634-0.69059i	-0.095708-0.16374i	-0.50066+0.48826i	0.32219-0.090774i	0.19674-0.40836i	0.0079935-0.12967i	-0.33657+0.28205i
1.076+2.6354i	3.8938-1.5267i	-2.1512-4.874i	-5.3678+2.0277i	2.2444+6.184i	6.3457-1.3393i	-0.5791-6.9438i	-6.9954-0.14264i	-1.5177+6.9122i	6.7206+2.8115i	4.2687-6.3716i	-5.8462-5.9111i	-7.1908+4.8314i	3.344+8.2982i	8.9599-1.8479i	9.0358+0.014052i	2.3226-9.8183i	-9.7966-4.4042i	-6.7988+8.7253i	7.4599+7.8532i	9.7601-5.5285i	-3.7946-11.252i	-12.456+2.4192i	-0.37463+13.122i	12.516+1.7381i	3.1252-12.574i	-10.636-2.946i	-3.8358+10.169i	8.4196+3.7754i	2.2333-6.1001i	4.1745+1.5677i	2.7261-5.5161i	-6.7749-3.1061i	-3.5299+6.0462i	6.4898+4.6523i	5.3615-5.4159i	-4.2013-6.4109i	-6.3775+2.9846i	1.1206+6.5898i	6.0339+0.96773i	2.8949-5.8582i	-4.5375-3.8942i	-5.1438+3.0314i	1.1005+5.4045i	5.0435+0.59993i	4.3876+2.281i	3.3428-3.7915i	-1.9934-3.9631i	-4.4987+0.6513i	-0.67824+3.9964i	3.5138+1.8981i	2.9424-2.8472i	-1.7891-3.2842i	-3.6594+0.61467i	-0.37182+3.2411i	2.7167+0.67781i	1.121-2.2145i	-1.7328-1.2937i	-1.4867+1.3909i	0.59148+0.78848i	-1.5923+0.5177i	0.25638+2.2i	2.4261-0.18616i	0.41041-2.4835i	-2.8199-0.51065i	-0.96665+2.6951i	2.1025+1.258i	1.4541-1.6821i	-1.3209-1.9711i	-2.2825+0.68402i	0.064+2.1892i	2.0824+0.61516i	0.96006-1.7995i	-1.3787-1.3919i	-1.4493+0.78795i	-1.4749+0.46017i	-0.24568+1.7674i	1.4517+0.6357i	0.88474-0.86988i	-0.68015-0.97719i	-1.0452+0.50402i	0.085576+0.90888i	1.1081+0.24849i	0.33571-0.79649i	-0.41823-0.63038i	-0.92878+0.2801i	0.18848+0.063793i	0.083465-0.046346i	0.29971-0.090262i	-0.15496+0.042719i
-1.8038-1.3546i	-1.9645+1.7504i	2.4074+3.0873i	3.6336-1.4763i	-0.91521-4.7447i	-5.2748-0.46819i	-1.6437+5.3839i	5.1917+3.1003i	5.0045-4.3395i	-2.3414-6.6383i	-7.659+0.68473i	-2.0369+8.3118i	8.0609+4.8668i	7.8142-6.5405i	-3.9189-9.5281i	-1.3161-10.687i	-11.799-2.1303i	-6.2191+10.913i	8.9068+9.2483i	11.247-6.5518i	-2.9522-13.015i	-14.106-0.10788i	-3.3034+14.755i	14.022+7.0913i	9.0726-12.146i	-10.332-10.988i	-9.9574+8.5496i	7.0985+10.706i	9.5731-4.8536i	-3.5015-6.4868i	6.1655+1.0453i	2.3824-8.1574i	-9.6878-2.9558i	-3.6914+9.0911i	9.6419+4.9813i	5.9431-8.0895i	-6.6579-7.3307i	-8.0839+4.9082i	2.679+8.2455i	8.1285+0.10198i	2.4843-7.7015i	-6.3954-4.1176i	-5.53+4.638i	2.3493+6.3599i	6.3046-0.38253i	5.7143+1.4945i	2.931-5.1838i	-3.3946-3.9686i	-4.5296+1.8295i	0.4171+4.3891i	3.8632+0.75702i	1.5464-3.0283i	-2.2198-2.2701i	-2.3693+1.1606i	0.64741+2.2185i	1.4814-0.14501i	0.39581-0.95051i	-0.5231-0.44519i	-0.82953+0.038368i	-0.32996+0.16893i	-0.47531+2.147i	2.6454+0.76021i	1.0375-3.0608i	-2.418-1.6539i	-2.0139+2.5912i	2.1704+2.6482i	2.9791-1.326i	-0.72697-2.8611i	-2.9406-0.24424i	-1.015+2.4331i	2.0319+1.5387i	2.0645-1.2766i	-0.67158-2.4219i	-2.6046-0.29437i	-0.76078+1.9983i	-1.1995+1.5322i	0.81282+1.6796i	1.6702-0.32369i	0.39841-1.4231i	-1.0609-0.65882i	-1.0254+0.95453i	0.44785+1.0506i	1.2229-0.10206i	0.14688-0.90957i	-0.70095-0.62999i	-0.74208+0.19926i	0.30459+0.35881i	0.48026+0.02796i	0.11384-0.35342i	-0.28608-0.3786i
-1.9697-3.126i	-4.4157+1.7456i	2.3396+6.1043i	6.9041-1.0049i	-0.25471-8.4757i	-8.6315-1.9542i	-3.739+8.7915i	8.1031+5.8494i	8.3913-6.5624i	-3.621-10.467i	-11.781+1.0184i	-2.9605+12.465i	12.164+6.7343i	10.879-9.8946i	-6.5677-12.895i	-2.7966-14.541i	-16.274-1.8307i	-6.7362+15.351i	12.937+10.879i	13.413-9.8308i	-5.3781-16.04i	-17.718+1.8533i	-1.9766+18.466i	18.171+6.8924i	9.8062-15.776i	-13.869-11.775i	-10.951+11.34i	9.7682+12.154i	10.946-6.879i	-4.8407-7.1793i	4.23+1.8524i	3.1853-5.1555i	-5.9547-4.0835i	-4.4814+5.4104i	5.3601+5.3417i	5.7459-3.6338i	-2.283-6.2821i	-6.5361+0.91741i	-0.8808+5.9326i	5.0193+2.5616i	3.7071-3.8643i	-2.3095-4.7407i	-4.8695+0.82282i	-1.0316+4.5831i	3.978+2.3909i	2.7956+3.2877i	4.0926-1.7232i	0.085334-4.3284i	-3.7002-1.5584i	-2.5252+2.8904i	1.6027+3.2624i	3.3514-0.046347i	0.7613-3.7181i	-3.1904-2.066i	-2.5936+2.7771i	1.6646+2.8928i	3.1413-1.0181i	-0.62233-2.9612i	-3.0245+0.1754i	-0.08598+1.5587i	-0.73896+2.8435i	3.5619+1.0981i	1.627-4.1782i	-3.6617-2.2045i	-2.5754+3.7067i	3.1293+3.113i	3.886-1.9823i	-1.4011-3.8573i	-3.6293+0.081379i	-0.85152+3.1554i	2.6549+1.7814i	2.4196-1.8651i	-1.0481-2.8785i	-3.1231-0.16416i	-0.54287+2.5785i	-1.1098+2.211i	1.4355+1.6883i	1.8441-0.75004i	0.11899-2.0353i	-1.4141-0.38927i	-0.90185+1.2218i	0.86923+1.1567i	1.3434-0.4874i	-0.21448-1.0561i	-0.85261-0.37365i	-0.33518+0.46845i	0.66048+0.56678i	0.6654-0.26321i	-0.16142-0.39092i	-0.50657-0.33356i
1.9808-0.4727i	-0.1784-3.2057i	-4.2637+0.21919i	-0.46379+4.6929i	5.3163+0.96039i	2.2528-5.294i	-5.1214-2.9478i	-3.9762+4.8528i	3.724+5.2178i	6.2909-2.2694i	-0.75977-6.8656i	-7.7812-1.2944i	-2.7189+7.569i	6.9423+4.9075i	6.0898-5.3695i	7.3876-3.6678i	-2.0596-9.0261i	-9.2503-0.08861i	-2.6715+8.947i	7.8819+3.9704i	6.2538-6.6585i	-5.698-7.4642i	-8.4209+4.3823i	2.5916+9.8782i	9.8118-1.2059i	-0.089971-9.3113i	-7.7252-0.15456i	-0.9052+7.9178i	6.3987+1.1541i	0.4742-4.2303i	1.9744+1.3539i	1.9796-2.2259i	-2.5896-2.2543i	-2.2694+2.6463i	2.473+2.5677i	2.8803-1.7202i	-1.205-3.1686i	-3.1983+0.65715i	-0.47512+3.1198i	2.6408+0.99223i	1.1573-2.122i	-1.6093-2.2621i	-2.4295+1.1052i	0.30715+2.5064i	2.6184+0.86928i	2.1242+1.3517i	2.1256-2.0778i	-1.024-2.8356i	-3.1036+0.29785i	-0.60148+2.8356i	2.6663+1.4855i	1.8824-1.8901i	-2.0139-2.6121i	-3.3067+1.34i	0.57345+3.6534i	3.5976-0.51907i	-0.03834-2.9889i	-3.3148+0.032214i	-0.43541+3.132i	2.056-0.1168i	-0.83785+1.4487i	1.7881+1.1095i	1.2979-2.1575i	-1.9094-1.3483i	-1.6119+1.9961i	1.6296+1.6874i	2.1143-1.0762i	-1.1068-2.1763i	-1.847+0.16646i	-0.28616+1.8262i	1.6287+0.91862i	1.2309-1.3135i	-0.92377-1.5073i	-1.7249+0.25038i	0.36199+1.8168i	-0.025367+1.9293i	1.6256+0.64904i	0.83479-1.1367i	-0.80735-1.3128i	-1.0932+0.64145i	0.3684+1.2069i	1.1998+0.073522i	0.43643-1.0966i	-0.9245-0.36042i	-0.52573+0.43867i	0.49798+0.51694i	0.73372+0.082474i	0.019991-0.54344i	-0.43822+0.048277i	-0.28756+0.25458i
