44,0.5,10,23,0.2,0
-2.1355+3.0942i	3.8964+3.1976i	4.3555-5.1866i	-4.88-4.9783i	-5.8411+5.5015i	4.3201+6.7838i	8.0393-3.7211i	-2.2248-8.1679i	-8.6622+0.9952i	-1.0519+8.3794i	9.0935+2.7972i	5.0471-8.4495i	-7.491-6.3757i	-8.3698+6.0444i	3.9794+9.2301i	1.9843+10.028i	10.794-0.042476i	1.7796-10.892i	-10.403-4.7168i	-6.0286+9.218i	8.2277+8.6003i	10.089-6.3902i	-5.1107-11.368i	-13.062+3.2701i	1.5717+12.545i	12.78-0.53981i	0.067536-11.337i	-11.137-0.78368i	-1.3517+9.7907i	6.4979+0.52721i	2.7601-3.6088i	-4.6183-4.2592i	-4.8389+6.3423i	5.9282+5.5439i	6.6702-6.18i	-4.9965-7.5055i	-8.4984+3.869i	2.2076+8.4057i	9.0014-0.26754i	2.1615-7.8348i	-7.3687-3.8812i	-6.2911+5.7882i	4.0808+7.1158i	8.2822-1.3696i	0.83071-7.7732i	2.9237-7.1211i	-6.1549-5.1381i	-6.4752+4.3234i	1.9119+7.8407i	7.687-0.19731i	2.6691-7.2588i	-6.7603-4.5228i	-6.1853+6.201i	4.5635+8.0518i	8.2374-2.8145i	-1.6556-9.0536i	-7.8612+1.0663i	-0.3247+8.2308i	6.4387+0.44129i	0.69868-4.792i	-0.31866+0.64513i	0.63007+0.49855i	0.57519-0.96619i	-0.96584-1.1097i	-1.3339+0.99983i	1.1976+1.5845i	1.6706-0.69266i	-0.43646-1.8227i	-2.0746+0.28394i	-0.64322+2.0713i	2.068+1.0705i	1.3648-1.8201i	-1.4357-2.2045i	-2.1863+0.98108i	0.74309+2.5218i	0.28042+2.5673i	2.579+0.92571i	1.3484-2.4567i	-1.7249-1.6778i	-2.0182+1.4482i	0.89806+2.0582i	2.1736-0.82749i	-0.33655-2.1972i	-2.267-0.33942i	-0.76635+1.8173i	1.2908+0.69217i	0.67694-0.78023i	-0.44702-0.54063i	-0.46444+0.19359i	-0.06619+0.55394i
0.216+2.6451i	3.5404+0.077298i	0.14172-5.2897i	-6.0075-0.93036i	-1.6494+7.1822i	6.8405+3.1249i	4.9886-7.3044i	-6.701-6.423i	-8.2439+6.2126i	4.1417+9.8106i	11.874-1.8171i	0.81051-13.025i	-13.297-3.6717i	-7.3006+12.477i	10.737+10.122i	8.7317+12.586i	15.445-6.1585i	-3.0059-16.86i	-17.524-1.546i	-4.5011+16.457i	15.427+8.5624i	11.51-13.762i	-12.475-14.162i	-16.713+9.8641i	7.0961+16.765i	17.094-5.2717i	-3.8232-14.695i	-14.138+3.0671i	1.6283+12.138i	7.7831-1.4417i	1.2425-3.9084i	-5.1271-2.0564i	-2.197+6.9849i	6.8379+3.3933i	3.8845-7.3226i	-6.7045-5.1347i	-6.8244+5.9765i	4.3355+7.0139i	8.0444-2.6053i	-0.5139-7.7634i	-7.91-1.4467i	-3.8795+7.2605i	5.905+5.179i	6.8657-3.8725i	-1.9743-7.3632i	0.093807-7.3534i	-7.3179-2.225i	-4.052+6.3855i	4.703+6.2009i	6.4491-3.0432i	-0.85929-7.0557i	-7.5444-0.85024i	-2.5073+7.7752i	7.1699+4.4466i	5.1904-5.8793i	-5.3518-6.0296i	-5.4583+4.4083i	3.4404+5.837i	4.8856-2.9725i	-1.6862-3.4946i	0.5894+0.94636i	1.0842-0.87829i	-1.1491-1.5575i	-1.9782+0.5588i	0.70278+2.3943i	2.8112-0.26401i	0.19006-2.5173i	-2.6035-0.42421i	-1.3663+2.6333i	1.9114+2.0841i	2.5994-1.4951i	-0.98884-3.3217i	-3.3269+0.0054252i	-0.43141+3.3502i	3.1286+1.3961i	2.9335+2.0344i	2.5786-2.0352i	-1.4518-2.9657i	-2.8368+0.92953i	0.1206+2.9052i	2.746+0.43857i	1.0056-2.6414i	-2.2001-1.4908i	-1.665+1.5059i	0.92414+1.7326i	1.5991-0.59506i	-0.18325-1.0058i	-0.82529+0.27882i	0.010899+0.80142i	0.30672+0.1424i
0.98473-0.92289i	-1.1757-1.1572i	-1.2547+0.52041i	-0.26058+0.84373i	0.5756+0.88091i	1.0212+0.099989i	1.266-1.8662i	-2.0991-2.491i	-3.6768+2.5434i	1.5721+4.9839i	6.7806-0.36634i	1.0745-8.0055i	-8.7773-2.9958i	-5.668+8.7527i	7.813+7.99i	6.9468+10.1i	12.832-5.2885i	-2.7419-14.389i	-15.345-0.71065i	-2.9181+14.955i	14.344+6.1483i	8.7482-14.065i	-13.702-11.291i	-13.319+12.137i	10.116+13.661i	14.124-9.1734i	-7.9032-11.691i	-11.234+7.7053i	6.121+9.2282i	5.7052-4.7114i	1.0647+0.25869i	0.42204-1.6723i	-2.2165+0.38153i	0.67849+2.7215i	2.836-1.0191i	-1.0142-3.2617i	-3.9372+0.96271i	0.75649+3.7088i	4.0042-0.076819i	0.47146-3.847i	-3.6986-1.468i	-2.1903+3.5913i	2.9113+2.8202i	3.4191-2.2522i	-1.3778-3.9222i	-0.41793-3.8994i	-4.0677-0.32696i	-1.5576+3.7592i	3.17+2.4972i	2.6427-2.3379i	-1.4882-3.4303i	-3.7416+0.71789i	0.2572+3.9441i	4.1475+0.56232i	1.1314-3.8051i	-3.4946-1.6027i	-1.5467+3.0533i	2.4994+1.785i	1.3032-2.187i	-1.2819-0.96965i	-0.030286+1.5278i	1.9154-0.1895i	-0.49144-2.4027i	-2.8148+0.094805i	0.38255+3.3283i	3.6054+0.13868i	0.28653-3.4656i	-3.4398-0.41046i	-1.3238+3.3996i	2.9702+1.9676i	2.624-2.699i	-2.2187-3.6095i	-3.6487+1.6184i	1.0174+3.9077i	3.9331+0.080631i	3.9408+0.66687i	1.1631-3.6691i	-3.2451-1.8052i	-2.0597+2.9356i	2.04+2.3886i	2.5788-1.5472i	-0.92168-2.6338i	-2.5157+0.20773i	0.13658+2.2686i	1.9675+0.25638i	0.56611-1.3522i	-0.79713-0.33834i	-0.39504+0.90935i	0.59312+0.54789i	0.42826-0.30841i
-0.080918-2.5867i	-3.4568+0.35707i	0.99298+3.7885i	4.0451-1.3397i	-1.6638-4.065i	-4.266+1.4911i	2.1098+4.2263i	4.4653-2.4094i	-2.3376-4.1938i	-4.8453+1.989i	2.5399+5.3214i	6.0782-2.2973i	-2.1898-6.6353i	-7.9698+1.6681i	0.53993+8.3545i	-0.081579+9.1558i	10.307+1.2893i	2.9721-10.614i	-10.493-5.0481i	-5.5162+10.068i	9.2577+7.4375i	8.817-9.3427i	-9.3943-10.331i	-11.713+8.3351i	7.3848+11.415i	11.702-7.5037i	-7.1032-9.3361i	-9.2472+7.4025i	6.3635+7.2297i	4.4214-5.1361i	2.0491+2.197i	2.7819-2.7837i	-3.6034-2.3503i	-1.5326+3.226i	3.4199+1.0047i	0.84025-3.1917i	-3.035-0.43672i	0.13923+2.6713i	2.5934+0.015532i	-0.056725-2.692i	-2.5204-0.39918i	-0.33467+2.6354i	2.5341+0.89154i	1.072-2.7628i	-2.3284-1.6486i	-1.9245-2.0738i	-2.4837+1.8567i	0.99487+2.607i	2.7045-0.73782i	-0.34078-2.5998i	-2.3528-0.62365i	-0.75566+2.1945i	2.5045+0.87794i	1.4361-2.3432i	-1.7807-1.7541i	-1.0049+1.4783i	1.091+1.0756i	0.57803-0.98189i	-1.14-0.33535i	-0.062364+0.64209i	-1.5175+1.3579i	1.717+1.7975i	1.6159-1.6732i	-1.7627-1.5293i	-1.4836+1.6434i	1.5395+1.4886i	0.75581-1.2861i	-0.98238-0.62357i	-0.49292+0.83018i	0.87897+0.23735i	0.21484-0.9826i	-1.2265-0.39889i	-0.11893+1.5117i	1.828+0.31499i	0.61464-1.4972i	0.94632-1.8734i	-2.2319-1.2384i	-1.4635+1.9837i	1.8903+1.9868i	1.8758-1.4282i	-1.1474-2.2219i	-2.1195+0.90812i	0.61166+1.9983i	2.0471-0.016627i	0.35546-1.9483i	-1.532-0.10731i	-0.05639+0.99005i	0.86309+0.4889i	0.46662-0.68541i	-0.22436-0.10671i
1.6281-0.38006i	-0.1732-1.6085i	-1.6113-0.10153i	0.1628+0.99223i	0.72263+0.50655i	0.81872-0.22808i	1.0049-0.83482i	-0.37451-1.8366i	-2.6729+0.37489i	-0.60206+3.1404i	4.2173+1.6911i	2.8774-4.6351i	-4.5652-4.2982i	-6.6383+4.2043i	2.6903+7.4352i	1.461+8.9488i	10.284+0.15307i	2.43-10.602i	-10.389-5.1069i	-6.1341+9.605i	8.6157+8.4846i	10.198-7.7063i	-6.8496-11.655i	-13.505+4.7441i	3.3462+12.89i	12.98-2.66i	-2.3406-10.732i	-10.85+2.2926i	1.4082+8.661i	5.6525-1.6763i	0.90841-1.6994i	-2.5389-1.1407i	-1.0379+3.9752i	4.6938+0.92247i	1.2442-5.7743i	-5.7824-1.6289i	-2.3949+6.0912i	6.0098+2.8495i	3.6346-5.3601i	-4.5631-4.8962i	-5.8085+3.4315i	2.3171+6.4216i	6.5514-0.812i	0.60235-6.6935i	-5.9989-2.0793i	-4.9258-3.7145i	-4.7587+3.9976i	2.5664+5.2086i	5.503-1.1353i	0.030406-5.2725i	-4.6603-1.5969i	-2.4026+3.9718i	3.5335+3.0672i	3.639-2.6941i	-1.511-3.8925i	-2.874+0.91038i	0.19908+2.6684i	2.0608-0.065936i	0.18679-1.3816i	-0.81138-0.18516i	-1.3343-0.181i	-0.27333+1.5245i	1.3458+1.0883i	1.1665-0.7601i	-0.89941-1.7679i	-2.1982+0.28105i	-0.8534+2.2035i	2.2643+1.0927i	2.2338-2.1998i	-1.3582-2.8548i	-3.5446+0.82738i	-0.40733+3.9113i	4.189+1.261i	2.7376-3.8402i	-3.2946-3.0557i	-2.5119-4.0086i	-5.0549+1.8461i	0.94453+5.1501i	5.2401+0.33632i	1.0445-4.6712i	-4.2736-1.9683i	-2.3405+3.8474i	3.3186+2.8855i	2.8126-2.2408i	-1.4169-3.0365i	-2.7463+1.1836i	0.68051+1.7204i	1.5854+0.0025661i	0.015825-1.3634i	-0.84652+0.22543i
3.6042+1.1419i	2.1666-4.1038i	-5.066-3.1683i	-3.748+4.4801i	4.3975+5.0663i	6.2468-2.9688i	-1.5486-6.8984i	-7.2321-0.22133i	-2.2982+7.4548i	6.6422+4.3818i	6.5669-5.1251i	-3.955-8.7875i	-9.6954+1.4813i	-1.9161+10.466i	9.3291+4.1069i	8.372+6.9033i	9.4867-6.9324i	-4.3671-10.948i	-12.054+1.2416i	-1.2814+11.531i	11.462+4.2562i	6.9372-10.282i	-9.1024-8.9402i	-11.489+7.0224i	5.0113+11.646i	11.998-3.3045i	-2.216-10.521i	-10.702+1.4969i	0.26022+9.0689i	6.0807-0.63074i	-0.11266-5.8515i	-7.7652+0.19136i	1.0177+10.1i	9.8378-0.41693i	-0.1369-10.941i	-10.538-0.82161i	-2.6244+10.142i	9.1371+3.3927i	4.754-7.749i	-6.0508-6.2917i	-7.5196+4.316i	2.1255+8.1838i	7.9866-0.47875i	1.7201-7.2847i	-6.2623-3.3704i	-4.6224-5.1431i	-6.2261+2.7731i	0.98147+6.3847i	6.3253+1.1735i	2.3726-5.6633i	-4.6313-3.8608i	-5.062+3.2424i	2.0128+6.0667i	6.3259-0.48632i	0.79177-6.1945i	-5.5084-1.4694i	-1.8994+4.8476i	4.2076+2.0871i	2.2726-3.4142i	-2.1713-1.4021i	0.80456-2.1853i	-2.7537-1.3637i	-1.6315+3.9979i	3.9258+2.3122i	2.2465-4.3591i	-4.6212-2.8531i	-3.452+4.0178i	3.4037+3.7165i	4.7222-3.006i	-1.5629-4.7832i	-5.4071+0.87404i	-0.645+5.3829i	5.2364+1.2504i	2.8722-4.6593i	-3.8008-2.9527i	-2.9641-3.5403i	-4.41+2.1868i	1.2895+4.406i	4.3361-0.098898i	0.59548-3.8996i	-3.3373-1.291i	-1.6922+2.8737i	2.4561+2.0416i	1.868-1.7583i	-1.1066-2.0867i	-1.886+0.80925i	0.35611+1.3125i	1.1069+0.097698i	-0.17794-0.88473i	-0.66354+0.1529i
1.1417-1.9555i	-2.3748-0.85627i	-0.51998+2.5812i	2.2135+0.24708i	-0.4179-2.0267i	-1.3596+1.1406i	1.411+1.2286i	0.33201-2.3661i	-2.9945-0.23323i	-0.33283+3.5432i	4.5209+1.0705i	1.3374-5.7632i	-6.227-2.2608i	-3.8196+6.8045i	6.2011+4.6016i	6.2841+6.0468i	7.7249-5.8232i	-4.7854-8.6424i	-9.7205+3.5742i	2.0073+9.599i	10.188-0.53065i	0.96371-9.8546i	-9.8582-2.2259i	-3.8102+9.6747i	8.5582+4.2147i	4.7238-7.628i	-6.2728-4.2255i	-4.2426+5.3434i	4.2844+4.0003i	2.59-2.9395i	1.64-5.095i	-6.5382-1.911i	-1.4534+8.2075i	7.2056+1.7244i	1.5038-7.5814i	-6.8221-1.7312i	-2.8268+5.8768i	4.9004+2.5875i	3.226-3.71i	-2.5855-3.4448i	-3.456+1.5548i	0.22365+3.502i	3.1725+0.1644i	1.2838-2.2625i	-1.5789-1.7041i	-0.84417-2.2253i	-2.6227-0.26849i	-1.0769+2.4537i	2.2355+1.9193i	2.0692-1.885i	-1.5225-2.5601i	-3.1098+0.89924i	0.44447+3.7348i	3.9079+0.2328i	0.49121-3.9687i	-4.0091-0.52203i	-0.30613+3.4704i	3.2262+0.22676i	0.1618-3.1615i	-1.7705+0.36461i	2.2769-2.6761i	-3.2072-2.9463i	-3.1624+4.4044i	4.2236+3.4607i	3.361-4.5002i	-4.27-3.484i	-3.299+3.7086i	2.9356+3.6382i	3.7262-2.5263i	-1.5029-3.4243i	-3.6602+1.0623i	0.26558+3.2141i	2.9454-0.13479i	0.72515-2.7128i	-1.8106-0.45932i	-1.5146-0.69836i	-1.0347+1.0163i	0.76424+1.0675i	0.8705-0.25179i	-0.014225-0.93353i	-0.55618-0.27759i	-0.56057+0.34349i	0.35803+0.29295i	0.40042-0.35848i	-0.18595-0.58521i	-0.45113-0.033921i	-0.088647+0.75311i	0.68031+0.022663i	-0.24413-0.50523i	-0.31891+0.094992i
-2.3142-6.1083i	-8.4803+3.4696i	5.7002+10.678i	11.151-5.6355i	-6.91-12.533i	-12.777+5.9306i	5.0894+13.464i	12.65-4.3583i	-2.6831-12.699i	-11.806+0.67666i	-0.34767+11.157i	10.378+1.4472i	2.1935-8.6833i	-7.4424-2.3718i	-2.3148+5.5355i	-1.3357+4.5974i	3.9057+0.52224i	-0.46151-3.3891i	-3.2969+2.0221i	2.7611+3.478i	3.8872-3.7127i	-4.6898-4.5792i	-5.8215+5.1034i	5.3324+7.2851i	7.6484-5.5119i	-5.3148-7.9814i	-6.9905+4.9953i	5.1063+6.2441i	5.7745-3.9826i	-2.6885-3.2194i	2.6158-1.2978i	-1.7109-2.76i	-2.6114+1.7136i	0.98888+1.8617i	0.95731-0.56778i	-0.064982-0.031597i	0.35411-0.57022i	-0.59161-1.4924i	-1.7734+0.64627i	0.163+2.5538i	3.3435+0.23521i	0.71203-3.6415i	-3.3554-1.458i	-2.0361+3.214i	2.8277+2.7457i	2.0355+3.1233i	3.2174-1.4341i	-0.60664-3.1039i	-2.726-0.14708i	-0.89598+2.3311i	1.447+1.2094i	1.5273-0.46544i	0.34824-1.3375i	-0.87329-1.2057i	-1.9084+0.19705i	-0.54591+2.571i	3.074+0.42308i	0.93433-3.6195i	-3.5074-1.5116i	-0.56753+3.2389i	0.99256-1.2764i	-1.5202-0.65983i	-0.50557+2.3616i	2.4051+0.41397i	0.023255-2.8602i	-2.7312+0.063237i	0.41331+2.9379i	2.8744+0.0049007i	-0.28106-2.679i	-2.7855+0.052762i	-0.20305+2.7401i	2.7499+0.049539i	0.29152-2.6691i	-2.3072-0.76439i	-0.38214+2.2038i	-0.59548+1.687i	1.4819+0.45385i	0.65992-1.0839i	-1.013-0.48633i	-0.29642+0.49251i	0.45407-0.017821i	-0.36252-0.50183i	-0.14588+0.035301i	0.55278+0.02733i	-0.061841-0.69578i	-0.69379-0.2116i	-0.11943+1.1499i	1.4214-0.15244i	-0.014311-1.0831i	-0.63816+0.16564i
-1.9608-6.0198i	-8.2197+2.3913i	4.1415+10.61i	11.063-3.6776i	-4.1706-12.518i	-12.528+2.5172i	1.4384+12.621i	11.895-0.25301i	1.5731-11.415i	-9.6996-3.4287i	-4.4255+8.156i	6.7833+5.6143i	6.1085-4.378i	-2.5003-5.7563i	-4.6826+0.35363i	-3.2429-0.78083i	-2.1566+1.6293i	-0.048747+2.448i	2.3204+2.3617i	3.6284-1.6661i	-1.1032-5.1494i	-6.6246-0.22589i	-1.7043+7.4474i	7.7189+3.1571i	4.1288-7.7456i	-7.4814-4.5523i	-4.1095+6.8211i	6.4083+3.8113i	3.5809-5.1881i	-3.2284-1.5439i	1.1855+1.2139i	1.401-0.84575i	-0.68161-2.1025i	-2.2547-0.31283i	-1.1724+2.7602i	2.7186+2.3104i	3.1113-2.7192i	-1.971-4.0798i	-4.4581+1.2202i	0.14352+4.8531i	5.1366+0.95376i	2.036-5.1299i	-4.3249-2.7255i	-3.8246+3.3571i	2.3305+4.3499i	1.1498+4.5183i	4.4624+0.079441i	1.4213-3.9017i	-2.8805-2.2207i	-2.7402+2.2064i	0.9305+2.8854i	3.1991+0.56685i	1.6051-2.9585i	-2.3044-2.8798i	-3.4479+1.4578i	0.42351+4.0739i	4.193-0.39688i	0.35538-4.723i	-4.2172-0.81249i	-0.32637+3.5689i	-1.2924+0.46282i	0.31379+2.3522i	2.7154-0.0053422i	0.21753-2.7235i	-3.2256-0.59081i	-1.1336+3.1339i	3.0188+1.6841i	2.2132-2.6343i	-2.58-2.1287i	-2.6837+1.8503i	1.3126+2.7791i	2.7918-1.0809i	-0.38342-2.5962i	-2.1106-0.1216i	-0.18398+1.5606i	-0.3237+0.86604i	0.52472+0.1552i	0.12119-0.1425i	0.20292+0.26934i	0.69204-0.59388i	-0.62026-1.2118i	-1.5939+0.28779i	0.39014+1.7333i	2.221-0.10237i	-0.0441-2.0699i	-2.1406-0.24258i	-0.36288+1.9849i	2.264+0.39726i	0.67827-1.6709i	-1.0708-0.14607i
0.76337-2.5097i	-2.9095-1.6074i	-1.8255+3.7232i	3.5904+2.3906i	3.1598-3.9171i	-3.2282-3.8695i	-4.7454+2.2289i	1.4158+4.8665i	5.1843-0.54122i	0.96285-5.1405i	-4.7211-2.2004i	-3.1833+4.2078i	3.4238+4.224i	4.7255-2.2975i	-0.87106-4.8938i	0.34782-4.5326i	-4.4499-1.494i	-2.3035+3.4339i	2.024+2.8518i	2.9364-1.2535i	-0.095829-2.8716i	-2.631-0.98236i	-2.0167+2.319i	0.94147+2.5611i	3.0073-0.084103i	0.80191-2.861i	-2.9196-0.79385i	-1.9975+3.0853i	2.6996+1.9884i	1.6112-1.7471i	0.08615+1.0621i	1.2655+0.19223i	0.15203-1.2015i	-1.1487-0.39656i	-0.59517+0.87303i	0.68806+0.95235i	1.0645-0.41943i	0.18029-1.2891i	-1.2084-0.86205i	-0.88465+0.65957i	0.24017+1.5459i	1.7741+0.30787i	0.99402-1.6491i	-1.765-1.6261i	-2.0811+1.2457i	-2.518+0.80037i	0.17902+2.9045i	3.105+0.62753i	1.6476-3.0036i	-2.5561-2.169i	-2.9529+1.7877i	1.3266+3.7076i	4.282-0.7377i	0.045175-4.7752i	-4.5049-0.64546i	-1.521+4.7052i	4.1054+1.3094i	1.6122-4.2092i	-3.4032-1.538i	-0.95806+2.2984i	-1.5119+0.98663i	0.90783+2.0792i	1.9871-1.0411i	-1.0648-1.6408i	-1.8195+1.2037i	0.56341+1.6463i	1.1927-0.52646i	-0.3482-0.9726i	-0.84769+0.46736i	0.4635+0.52664i	0.11974-0.57917i	-0.90925-0.16474i	0.29385+1.0069i	1.4432-0.047637i	0.16247-1.6596i	0.37286-1.8815i	-2.0201-0.82219i	-1.3508+1.7983i	1.8916+1.7477i	2.058-1.7292i	-1.3275-2.3934i	-2.4696+0.65784i	0.15971+2.7704i	2.7691+0.285i	0.63138-2.2577i	-2.3006-0.72822i	-1.0876+1.7873i	1.6177+1.3474i	1.2751-1.1277i	-0.70525-0.78739i
2.4258+0.96365i	2.0707-3.4887i	-4.8168-2.6987i	-3.0744+4.8498i	5.6328+3.835i	4.6645-4.9984i	-5.4375-5.8145i	-6.5933+4.2397i	3.22+7.0468i	7.4655-1.8333i	-0.48215-7.7435i	-7.6466-1.3377i	-2.8506+7.1688i	6.2506+4.1003i	4.7994-4.8518i	5.5794-3.47i	-1.9697-5.9911i	-5.7741+0.27907i	-1.8306+4.6823i	3.9331+2.1645i	3.8517-2.6071i	-1.2486-4.2591i	-4.8579+0.43907i	-1.5784+5.2431i	4.8507+2.7715i	3.6492-4.394i	-4.2271-3.1095i	-4.2754+4.1614i	3.4919+3.881i	2.6459-2.6122i	0.055556+0.69189i	0.88846-0.08181i	-0.31168-0.38986i	-0.30752+0.79403i	0.87597-0.55477i	-0.62982-1.115i	-1.4091+0.91588i	1.0141+1.7457i	1.9481-1.3987i	-0.62131-2.7043i	-3.1666+0.67526i	0.34678+3.6385i	4.0197+0.21199i	0.99855-3.9447i	-3.6136-1.7795i	-3.4459-2.2749i	-3.0133+2.9638i	2.0348+3.587i	3.8914-1.6057i	-0.75239-4.138i	-4.2979-0.46493i	-1.1261+4.2228i	4.4183+1.8027i	2.6315-4.0481i	-3.2455-2.9467i	-3.4398+3.3273i	2.6142+2.9761i	3.1583-2.6361i	-2.0029-2.5514i	-1.7073+0.95565i	-0.41911+0.24872i	0.39614+0.43548i	-0.080215-0.62255i	-0.89714+0.45761i	0.60929+1.2943i	1.1863-0.64458i	-0.81853-1.6347i	-2.0577+0.98247i	0.7692+2.1319i	2.3369-0.60669i	-0.50908-2.647i	-2.693+0.071572i	0.083677+2.6925i	2.5716+0.49047i	1.0407-2.2074i	1.2042-1.9044i	-1.6693-1.6593i	-2.165+1.1384i	0.76918+1.9624i	1.9859-0.43364i	0.001199-1.7443i	-1.4862-0.48307i	-1.1116+1.3447i	1.0296+1.1945i	1.5369-0.52354i	-0.66907-1.334i	-1.6436+0.46403i	0.045694+1.6183i	1.2812+0.027563i	0.065343-1.0115i
