84,0.5,10,25,0.2,0
1.4258-1.0845i	-1.5468-2.6474i	-4.1745+1.6792i	2.2338+5.4526i	6.7632-1.2926i	-0.95716-7.8877i	-8.796-1.3278i	-2.0899+8.2946i	9.1492+4.2344i	6.539-7.8356i	-6.8853-8.928i	-11.234+4.2776i	1.6282+12.106i	12.812+1.8504i	4.5619-11.623i	7.2773-9.9771i	-8.1448-10.355i	-12.206+5.1988i	1.6157+13.388i	12.549+1.4156i	5.276-11.696i	-10.69-7.9851i	-10.512+8.9804i	6.3459+12.857i	12.755-3.2256i	-1.3124-12.977i	-11.557+0.36837i	-1.0038+11.3i	8.8458+1.6443i	1.1753-6.4182i	-0.98342-3.8788i	-5.2225+0.82986i	0.76952+5.9813i	5.4156-0.056629i	0.86654-6.1461i	-4.4684-1.7228i	-1.6884+5.1162i	4.1429+3.6138i	3.8326-1.8107i	-0.74402-3.7818i	-3.6963-0.51255i	-1.3744+3.3136i	2.5052+2.4791i	3.199-1.7041i	-0.12361-3.3938i	1.1214-3.4185i	-2.6987-2.1276i	-2.9466+2.0018i	0.67904+3.7149i	3.827+0.11581i	1.294-3.8005i	-3.5825-2.1143i	-2.9982+3.0595i	2.4285+3.8786i	3.9278-1.1995i	-0.74205-3.8476i	-3.4172+0.37023i	-0.25782+2.884i	2.6324+0.21443i	0.35041-1.5094i	-0.79047-1.7996i	-2.2115+0.97731i	0.91529+3.0255i	3.2417-0.28756i	-0.14451-3.5056i	-2.9567-0.89948i	-0.47905+2.7119i	3.3561+1.3256i	2.8614-1.9084i	-1.0538-3.0438i	-3.495+0.11201i	-0.86394+3.5292i	2.9593+1.2575i	2.7394-2.361i	-1.4548-2.9012i	-0.72309-3.2221i	-3.5682-0.14792i	-1.2242+3.2775i	2.7617+1.9953i	2.4403-2.18i	-1.4717-2.7624i	-2.9541+0.54991i	-0.14457+3.1942i	3.0745+0.4596i	0.74837-2.6776i	-2.4023-1.2138i	-1.4206+2.0778i	1.4161+1.297i	0.9433-0.83242i	-0.67337-0.7644i
0.49598+2.5493i	3.3511-0.87582i	-2.8992-4.1744i	-3.339+3.5939i	4.5217+4.0896i	3.4852-5.114i	-4.8433-5.603i	-4.2139+3.0221i	4.5922+4.7621i	5.0211-2.701i	-2.3168-5.6587i	-5.9353+0.67424i	-0.59134+5.5131i	4.9627+1.9593i	2.6056-3.6973i	2.9656-2.4468i	-0.91067-3.7334i	-3.6038-0.64143i	-1.8616+3.064i	1.7787+3.1854i	4.1908-0.45161i	0.8215-4.9508i	-5.7204-2.4866i	-4.1818+5.4119i	4.3163+5.5581i	6.7266-4.4952i	-3.947-6.1856i	-6.6843+3.7352i	2.5555+6.1644i	4.1491-2.2624i	-1.3972-4.0701i	-5.1912+1.6582i	1.9401+6.0162i	4.7012-1.0052i	-0.43929-5.9619i	-3.4535-0.25527i	0.47198+5.617i	4.5737+2.7183i	2.0976-1.1056i	-0.98611-2.3809i	-1.9678-0.31133i	-0.87678+1.6621i	1.1616+1.6492i	2.1981+0.049037i	1.1995-1.9258i	2.2041-1.7472i	-1.0059-3.2009i	-3.5696+0.1846i	-0.95187+4.161i	4.3287+1.798i	3.1352-3.7212i	-3.5685-3.6101i	-4.6465+2.8495i	2.2522+5.4615i	5.2948-1.4084i	-0.96546-4.9682i	-4.4352+0.67085i	0.040271+3.4887i	3.1557-0.25003i	-0.1777-1.7143i	-0.35565-0.071961i	0.18499+0.61703i	0.64775-0.17781i	0.042094+0.039693i	-0.72902-0.41248i	0.42236-0.45213i	2.014-0.87546i	1.2003-1.047i	0.62097+0.4562i	0.27957-0.17621i	-0.2528-0.73317i	-1.0418+0.258i	0.16309+0.94586i	1.5006+0.19043i	0.53198-1.473i	0.7368-1.5224i	-1.9658-1.2002i	-1.5881+1.6789i	1.401+1.9236i	1.8011-1.2228i	-0.69794-2.014i	-1.8748+0.1858i	0.13311+1.9614i	1.6355-0.178i	0.076035-1.5436i	-1.4736-0.36583i	-0.28072+1.1575i	0.77108+0.034382i	-0.070431-0.58163i	-0.46379+0.065679i
2.1823+3.2952i	4.3554-3.0657i	-5.7498-4.7006i	-4.4953+6.4297i	7.6521+3.9613i	3.6011-7.8752i	-7.5259-4.6032i	-3.0492+5.6505i	7.2734+2.9565i	3.0416-5.7353i	-5.7965-3.0039i	-2.7707+5.5613i	5.4892+2.5935i	2.6088-5.4898i	-5.3498-2.3553i	-5.4347-2.5808i	-2.7573+5.6936i	5.5686+3.0354i	3.8933-5.5586i	-5.3303-3.9458i	-4.5544+5.3489i	4.9573+4.6502i	4.892-4.9651i	-4.2694-5.6243i	-5.6014+3.8516i	4.0832+4.7652i	3.7056-3.3622i	-2.9116-2.9072i	-2.2857+2.3664i	1.4283+0.92155i	-1.9259-0.46078i	-0.43994+2.757i	3.5878+0.2114i	-0.92887-3.4154i	-3.8213-0.053801i	1.0982+3.6064i	4.7127+1.2443i	1.148-2.5583i	-3.2956+0.58687i	-0.77237+2.813i	2.9208+0.88015i	1.3451-2.7077i	-2.4667-1.5432i	-1.8559+2.6672i	2.3552+2.1051i	2.4301+2.4333i	2.7597-2.3469i	-2.1346-3.0134i	-3.0894+1.9631i	2.1656+3.2621i	3.7969-1.6082i	-1.5331-3.6563i	-4.1137+1.4777i	1.3446+4.6407i	4.2571-1.4468i	-1.7719-4.2272i	-3.4442+1.5728i	1.6755+2.444i	2.1865-1.6661i	-1.5036-1.1296i	0.60867+0.91714i	1.4624-0.65006i	-0.77262-2.0879i	-2.0815+1.0156i	0.016396+1.9148i	2.6456-0.60508i	1.6794-3.0793i	-1.3689-1.2623i	-0.51305+2.5968i	2.0868+1.536i	1.6247-1.9833i	-1.849-1.7664i	-1.604+1.4886i	1.2202+2.0019i	1.7379-1.089i	1.7453-0.62992i	-0.85604-1.486i	-1.3114+0.88869i	1.0848+1.2853i	0.86819-0.95372i	-0.64554-1.0816i	-0.8573+0.49493i	0.769+0.71777i	0.62969-0.98101i	-0.54664-0.56911i	-0.75878+0.39745i	0.6589+0.79182i	0.90126-0.58235i	-0.52899-1.1142i	-0.95307+0.38884i
1.2155-0.50744i	-0.84222-1.8644i	-3.0655+2.4178i	2.4328+3.7531i	4.9198-4.6025i	-4.5747-5.4886i	-6.6076+5.3069i	5.6595+6.9132i	8.483-5.503i	-4.5286-9.7158i	-10.896+3.978i	3.0227+12.782i	13.8-1.1256i	1.1934-14.553i	-14.144-3.2466i	-13.038-5.8409i	-8.4472+13.088i	10.946+10.576i	12.751-8.5409i	-5.9281-13.162i	-13.989+3.3942i	0.63494+13.902i	13.847+1.4636i	4.6098-13.263i	-11.173-5.8386i	-6.3658+9.7647i	7.3322+5.7875i	6.5359-6.0029i	-4.0893-6.148i	-4.2654+2.3293i	-3.5597+1.5319i	1.8199+5.0337i	6.0408-2.2082i	-2.0118-6.4291i	-7.1845+1.5713i	0.2262+6.6793i	6.6045+0.3858i	1.2569-5.9873i	-5.1196-2.2474i	-3.3668+3.9309i	2.8122+4.0518i	4.3933-1.5825i	-0.7688-4.2031i	-4.1547-0.46576i	-1.2079+3.0668i	-1.4326+2.5395i	1.6606+2.0793i	1.7979-0.76899i	0.12066-1.6519i	-0.82793-0.4012i	-0.6699+0.16543i	-0.35812+0.88645i	0.8261+1.214i	1.9702-0.37249i	-0.2502-2.5824i	-3.5473-0.244i	0.051446+2.9711i	3.7593-0.38382i	-0.05654-3.0374i	-2.4368+0.32816i	0.90185+0.67671i	1.0214-0.96083i	-1.2172-1.5168i	-1.6935+0.91584i	0.47863+1.856i	1.9864-0.11452i	-0.30967-2.0599i	-2.227-0.12222i	-0.69468+2.2419i	2.2657+1.3591i	1.4228-1.9849i	-1.7682-1.526i	-1.7464+1.6297i	1.2097+2.2404i	1.94-0.7909i	2.0191-0.18395i	0.092272-1.5184i	-1.2597-0.042977i	0.24206+0.99997i	0.66154+0.15084i	0.25473-0.56758i	-0.37728-0.32068i	-0.19182+0.09058i	-0.003216-0.036357i	0.21452+0.39594i	0.057866-0.17063i	0.18919+0.094201i	0.26921+0.097428i	-0.10447-0.51945i	-0.65492-0.072762i
-2.772-1.5757i	-2.3444+3.6446i	4.7623+3.9864i	4.616-4.6874i	-4.5928-6.3994i	-7.0416+3.9143i	2.5265+8.3216i	8.6276-0.85429i	0.414-8.8109i	-8.3563-3.1364i	-5.1895+7.9795i	6.7451+7.5246i	8.998-4.3701i	-1.9239-10.046i	-10.197-0.94978i	-8.8673-3.8206i	-6.7322+8.7259i	6.3546+9.0951i	10.975-3.2957i	-0.74678-11.235i	-11.554-2.5666i	-5.5077+11.1i	10.572+7.8585i	11.277-9.1473i	-6.7243-12.1i	-12.932+5.5932i	3.872+11.405i	11.926-3.1772i	-1.6686-10.737i	-7.5327+1.1473i	-2.9279-1.2219i	-2.0416+4.0235i	4.3831+2.995i	3.7798-4.319i	-4.1747-4.303i	-5.7664+2.989i	1.7994+4.7962i	5.2773-1.0199i	0.83475-5.8078i	-4.8254-2.3883i	-3.801+4.098i	2.8795+4.9959i	5.1634-1.1727i	0.26226-5.8231i	-5.167-2.2651i	-4.2502-3.3852i	-4.8799+3.5249i	1.9765+5.6582i	5.8726-0.60258i	0.69262-5.358i	-4.8809-2.2943i	-3.1758+4.1998i	3.4139+4.0002i	4.7595-2.1552i	-1.2765-4.5812i	-4.797+0.4929i	0.2766+3.8787i	4.0622+0.20411i	0.6855-3.0005i	-1.9564-0.14126i	1.2042-0.14525i	-0.13357-1.1871i	-1.7425+0.1503i	-0.1384+1.4326i	1.5402+0.34869i	0.43155-0.92785i	-2.2467-0.47666i	-1.5033+1.3901i	0.37605+1.1305i	1.983-0.28531i	0.10648-1.996i	-2.0571-0.38127i	-1.3324+2.2039i	1.9883+2.14i	2.4381-1.152i	2.8479-0.66664i	0.22306-3.1145i	-3.1651-0.68212i	-1.2614+3.0176i	2.6503+1.875i	2.429-2.0426i	-1.6889-2.7375i	-3.145+1.3392i	0.6427+3.2605i	3.0916+0.32894i	0.12943-3.0016i	-2.3968-0.46643i	-0.6504+2.4769i	1.856+0.7826i	0.24624-1.4754i
-4.0881+2.7856i	3.4985+5.68i	6.8622-4.2064i	-3.3202-7.0347i	-7.8286+3.527i	2.1441+7.8568i	7.9724-1.7582i	-0.65881-7.5473i	-7.228-0.32476i	-0.99102+6.562i	5.3102+1.7423i	1.8499-5.2229i	-4.6367-1.6312i	-1.7613+4.2099i	3.5153+0.86263i	3.9136+0.518i	0.075267-4.2307i	-4.7016+0.39979i	0.1602+5.8491i	5.9683-0.19081i	0.48425-7.2327i	-8.018-1.4147i	-2.0941+8.7569i	9.7782+3.5603i	4.544-9.5049i	-10.029-4.9797i	-4.3222+9.0009i	9.2242+4.3732i	4.1406-8.0767i	-6.2115-2.529i	1.2011-4.9039i	-6.5737-1.5701i	-2.011+8.4454i	8.3042+2.5092i	3.5333-9.0188i	-8.248-4.4528i	-5.2374+7.1349i	6.3987+6.4934i	7.1956-4.4159i	-2.0126-7.9182i	-8.1166+0.1317i	-2.0583+8.085i	7.0825+4.2069i	5.9084-5.8225i	-3.9884-7.1812i	-2.0174-7.5586i	-8.3216-0.22004i	-2.1799+7.8648i	6.6366+3.8795i	4.8689-5.2304i	-3.4936-6.0951i	-6.6549+2.1071i	0.59264+6.882i	6.803+1.4448i	2.4407-5.8246i	-4.9349-3.088i	-3.0324+4.3729i	3.4228+3.5087i	3.3808-2.7727i	-1.4868-1.9328i	2.1441-0.33168i	-0.20025-2.4231i	-3.4441+0.18001i	-0.1741+3.2935i	3.4002+0.39352i	1.1736-3.1111i	-3.1262-1.525i	-1.9888+2.1335i	1.3127+2.3103i	3.3373-0.84907i	0.17342-3.4897i	-3.7315-1.1381i	-2.3269+3.5226i	3.1515+3.5108i	4.2577-2.054i	4.9544-1.3452i	-0.010673-5.7908i	-5.9329-0.91372i	-2.5637+5.9279i	5.2095+3.0935i	4.3628-4.1957i	-3.4451-4.8985i	-5.5831+2.9854i	1.8495+6.1537i	5.7687-0.58683i	-0.55921-5.7804i	-4.9517-0.096446i	-0.48882+4.8143i	3.8561+0.90939i	0.38125-2.714i
-1.7795+3.7249i	4.7284+2.68i	2.6742-6.205i	-5.8556-2.1837i	-2.8327+6.5281i	5.7079+3.0923i	3.5865-5.9743i	-5.311-4.298i	-4.4294+4.578i	4.4333+5.3347i	5.2077-3.7078i	-2.9341-6.5786i	-6.9862+2.0756i	1.1643+7.3705i	7.1796-0.51311i	7.2484+0.55582i	1.741-8.0188i	-7.6302-2.3982i	-4.1193+7.6025i	6.6735+4.1299i	5.2729-6.3977i	-5.8186-6.3536i	-7.064+5.7579i	4.8609+8.4167i	8.5186-4.1054i	-4.3539-8.7589i	-7.1534+4.1607i	4.262+7.3676i	6.3173-3.6208i	-3.1086-4.0889i	4.1183-5.0667i	-6.4339-5.5581i	-6.076+7.6974i	6.8389+6.3607i	7.2042-7.0905i	-5.2254-7.263i	-7.3629+4.6479i	3.2838+7.7521i	7.1357-0.88653i	0.99895-6.8249i	-6.1505-2.2465i	-3.8411+5.2901i	4.1381+5.1144i	5.6814-2.2419i	-0.81583-5.9173i	0.7889-5.4101i	-5.3341-2.6136i	-3.8647+4.4913i	3.0227+4.7686i	5.2449-1.9911i	-0.31619-5.5388i	-5.8374-0.65787i	-1.654+5.865i	5.4844+3.1675i	3.7576-5.0148i	-4.161-4.0834i	-3.6872+4.206i	3.0803+3.621i	3.0868-2.9618i	-1.8398-1.8203i	1.716+0.6214i	1.2219-2.1784i	-2.8796-1.7141i	-1.8634+2.546i	2.3203+2.0411i	2.8571-2.1606i	-1.2712-2.9839i	-2.8522+0.36496i	-0.3077+3.1386i	3.3243+1.1938i	1.9991-3.1084i	-3.0161-3.06i	-3.4044+2.2455i	1.5472+4.0522i	4.4842-0.78073i	4.7389+0.0071631i	0.84955-4.8249i	-4.5587-1.5002i	-2.7813+4.4114i	3.6973+2.8085i	3.622-2.7957i	-2.062-3.8416i	-4.0219+1.6244i	0.94825+4.323i	4.0417-0.35507i	-0.40088-4.06i	-3.4876+0.18772i	-0.0048918+3.4326i	2.5787+0.20564i	0.020321-1.7825i
0.021704-2.3212i	-3.4561+0.074169i	0.15638+4.3653i	4.3507+0.9179i	0.8361-5.4266i	-5.1305-1.6139i	-2.7515+5.1509i	4.5874+3.1656i	4.1558-3.9439i	-2.5129-5.007i	-5.7932+1.5209i	0.96073+6.092i	6.093+0.28543i	2.0352-5.7844i	-5.248-2.9951i	-4.47-3.8514i	-4.4609+3.3627i	2.2613+5.4745i	4.9599-0.62916i	0.21468-5.1032i	-4.7276-1.5846i	-2.3629+4.2905i	3.7821+3.5427i	4.0897-2.6468i	-1.6235-4.1048i	-4.5972+1.0345i	0.69227+4.0963i	4.2787-0.007723i	0.2772-3.7209i	-2.2706-0.13694i	2.6017-2.9732i	-3.788-3.8506i	-3.8408+4.1453i	3.6459+4.0341i	4.3405-3.3201i	-2.4556-4.4606i	-4.7513+2.0935i	0.86718+4.3772i	3.9754+0.061703i	1.036-3.5731i	-3.1424-1.4345i	-2.2264+2.3932i	1.7967+2.9252i	2.8175-0.57836i	0.15762-2.9245i	1.1128-2.3828i	-2.1856-1.8916i	-2.6735+1.7865i	0.81091+3.1411i	3.3814-0.37804i	0.72794-3.2065i	-3.5537-1.2915i	-1.6673+3.6354i	3.4003+2.4503i	2.8778-3.4693i	-3.1878-3.2616i	-2.827+3.0586i	2.551+2.7264i	2.2715-2.4854i	-1.8739-1.5312i	-0.10669+1.4525i	2.0804-0.016404i	0.31274-2.5875i	-2.5039-0.80894i	-1.2785+2.3238i	2.3074+1.4999i	1.7936-1.9571i	-1.6524-2.2037i	-2.6844+1.0504i	0.33612+3.0821i	2.8534+0.14071i	0.67771-2.9949i	-2.4395-1.3889i	-1.9815+1.8722i	1.7189+2.1734i	1.0281+2.4185i	2.1629-0.15909i	0.49507-2.1868i	-1.9456-0.87234i	-1.1269+1.4648i	1.0174+1.543i	1.6028-0.52056i	-0.15336-1.903i	-1.9371-0.50126i	-0.51418+1.4778i	1.1745+0.67129i	0.73309-0.8279i	-0.77111-0.66203i	-0.92476+0.51801i	0.40428+0.51263i
0.27461-6.5969i	-9.2307-0.58799i	0.14638+12.145i	12.407+0.72563i	0.9175-14.774i	-14.25-2.5665i	-4.7816+14.622i	13.85+6.5704i	8.7761-12.433i	-10.602-11.605i	-13.756+8.3369i	6.303+16.14i	17.048-2.8163i	0.97439-17.296i	-16.712-4.3634i	-15.339-7.3483i	-10.465+14.314i	11.643+13.522i	14.996-8.1128i	-5.4434-15.142i	-15.759+1.8908i	-0.86972+15.953i	15.764+3.1827i	6.1792-14.996i	-12.609-7.0699i	-7.6889+11.88i	9.3748+6.2532i	6.4037-8.5142i	-6.5316-5.5068i	-2.8444+4.3558i	-0.7719-1.4411i	-1.8994+0.52662i	1.0784+1.8065i	1.7587-0.68382i	-0.61733-1.2347i	-1.4823-0.10124i	-0.48923+1.0807i	0.39551+0.59485i	0.79051-0.30175i	0.09278-0.83993i	-0.64045-0.29679i	-0.71013+0.38803i	0.16503+1.1176i	1.2563+0.31441i	0.71402-1.4518i	1.4118-1.0408i	-0.88376-1.7373i	-2.35+0.64358i	-0.051499+2.7354i	2.6657+0.58699i	1.4171-2.4506i	-2.5471-2.1013i	-2.6442+2.5746i	2.0728+3.472i	3.8405-1.8021i	-1.7827-4.5645i	-4.0426+1.0752i	1.1689+4.423i	4.0342-0.99886i	-0.88575-3.0098i	-0.15084+0.77164i	0.84742+0.22985i	0.73605-0.87122i	-0.94267-1.1468i	-1.436+0.54387i	0.26568+1.6047i	1.4495-0.27363i	-0.086244-1.497i	-1.7446-0.47038i	-0.9706+1.695i	1.1623+1.1084i	1.4491-0.93105i	-0.81129-1.7907i	-1.9752+0.050962i	-0.11774+2.1729i	-0.97178+2.0724i	1.6709+1.4371i	2.0019-1.6589i	-0.99709-2.387i	-2.4614+0.5801i	0.033323+2.7388i	2.3754+0.64087i	0.71716-2.7784i	-2.8586-1.7975i	-1.6399+2.4281i	2.1635+1.9813i	2.0107-1.8881i	-1.9385-1.9803i	-1.8+1.5299i	1.1906+1.0911i
0.060314-3.2525i	-4.7055-0.33092i	0.43513+6.4833i	6.9916-0.49775i	-0.73727-8.6671i	-9.083-0.26353i	-1.4983+9.7502i	10.016+2.7351i	4.5879-9.7916i	-9.6268-7.0888i	-9.4459+8.2651i	6.8485+11.964i	13.363-3.9954i	-1.381-14.329i	-14.448-2.0729i	-13.685-4.8627i	-8.0769+13.248i	10.927+11.217i	13.172-8.1275i	-5.5313-13.477i	-14.485+2.2969i	-0.60801+14.541i	14.17+2.5607i	5.3857-13.601i	-11.137-6.3367i	-6.7878+10.438i	8.2728+5.1528i	4.8724-7.4912i	-5.5261-3.6759i	-1.9893+3.4579i	-1.8381+0.1179i	0.39268+2.4065i	2.9428-1.1507i	-1.2527-2.7888i	-2.9794+2.0309i	1.6531+2.8333i	3.3663-1.6961i	-1.5174-3.0778i	-3.3804+1.3658i	0.55245+3.3487i	3.8483-0.10299i	0.46097-3.6154i	-3.3941-1.0851i	-1.2649+2.9775i	2.4692+1.5259i	2.1488+2.1176i	2.3093-1.6209i	-1.259-2.3658i	-2.1962+0.80596i	0.20208+2.4827i	2.2627-0.00039681i	0.34256-2.3453i	-2.6619-0.22446i	-0.77197+3.0564i	2.9426+0.91271i	0.56287-3.5768i	-3.2465-0.9361i	-0.43966+3.8927i	3.7009+0.42243i	0.23654-2.85i	1.2577-0.62816i	-0.97235-1.4384i	-1.7424+1.2341i	1.1098+1.4255i	1.7175-1.2822i	-1.0411-1.8437i	-1.7246+0.26011i	0.1234+1.7049i	1.5679+0.33184i	0.84936-1.5113i	-1.4539-1.2347i	-1.6837+0.95772i	0.093489+1.5067i	1.6903+0.20028i	0.53003-1.2643i	0.59438-1.1242i	-0.7323-1.2205i	-1.1097+0.34229i	-0.023289+1.045i	0.91186+0.11588i	0.60286-0.40999i	-0.45959-0.5834i	-1.0216-0.085673i	-0.30471+0.49113i	0.61254+0.86053i	0.86832-0.22424i	0.14713-1.0517i	-1.401-0.21496i	0.0052534+1.2336i	1.0006+0.039831i
-0.38028+2.7538i	3.5439+0.46805i	1.0394-4.242i	-4.0614-2.1073i	-3.0156+3.787i	2.3422+3.2845i	3.5941-1.2221i	-0.069043-3.8347i	-3.3053-1.4592i	-3.3129+2.1824i	0.65732+3.7025i	3.9736+0.80378i	2.3845-3.3624i	-2.7579-3.8036i	-4.5906+1.1211i	-4.8251-0.36901i	-2.0562+4.8783i	3.7155+4.026i	5.1691-2.7521i	-1.0094-5.809i	-6.3968-0.77697i	-2.5946+5.8472i	4.7275+4.088i	5.0426-3.7053i	-2.2077-5.5569i	-6.1261+1.1289i	0.85912+4.7921i	4.1122-0.16724i	0.37211-2.4921i	-1.984-0.64186i	0.86829+2.2022i	3.3004-0.66295i	-1.0141-4.6836i	-4.9404+0.62619i	0.26261+6.0548i	6.1684+0.95803i	2.4589-5.79i	-5.0967-3.2181i	-4.5875+4.6594i	2.8716+5.3024i	6.1743-1.6669i	-0.0052878-6.0881i	-5.6994-1.5431i	-2.7904+4.8324i	3.5547+3.5979i	2.0169+4.3147i	4.4852-0.76384i	0.57828-4.2554i	-3.1233-1.7876i	-2.5624+2.6652i	1.4358+2.6865i	2.9778-0.58185i	-0.12111-2.6008i	-2.414-0.39694i	-0.81602+1.8199i	1.0896+0.65328i	0.544-0.64335i	-0.091445-0.019653i	0.16522-0.023064i	-0.035922-0.30634i	0.7918-0.73712i	-0.91002-0.99892i	-1.5547+0.95271i	1.3112+1.3766i	1.9992-1.2209i	-0.93775-2.3894i	-2.158+0.21871i	-0.0597+2.3912i	2.1896+0.67078i	1.526-2.2079i	-1.9153-1.9302i	-2.7303+1.0664i	0.24809+2.6549i	2.9329+0.62423i	1.1641-2.7661i	1.8132-2.4113i	-1.7775-2.5299i	-2.7201+1.3188i	0.54436+2.9726i	2.8771-0.12918i	0.59845-2.3112i	-2.0002-1.1354i	-1.326+1.6098i	1.6987+1.3236i	1.27-0.72769i	-0.70993-0.84554i	-0.40874+0.42523i	-0.019657+0.2402i	0.47849+0.1151i	0.15793-0.10423i
