24,0.5,10,23,0.2,1
-2.7964+0.93826i	0.91931+3.2557i	3.6461-0.35482i	-0.3676-3.078i	-2.7994-0.49189i	-0.87595+1.5767i	-0.2913+1.0134i	0.78049+1.3606i	2.7765+0.37292i	1.6126-3.1029i	-4.1331-3.2747i	-5.6294+4.2382i	3.5511+7.8154i	10.338-1.6177i	0.44326-11.361i	3.3229-12.257i	-13.063-6.3806i	-9.6342+12.47i	10.16+13.127i	14.504-8.4753i	-5.1975-16.46i	-17.523+1.9667i	0.041594+18.146i	17.997+3.4174i	5.0851-16.221i	-15.138-5.7614i	-4.7909+12.086i	11.317+4.8921i	3.5812-8.7225i	-5.3464-1.8398i	1.132-0.19475i	-1.3348-1.4813i	-1.4118+2.8715i	3.7417+1.2784i	1.4369-5.0309i	-5.7863-2.101i	-2.6056+6.0103i	6.0285+3.1517i	4.2145-5.3661i	-4.4273-5.1091i	-5.9676+3.3946i	2.1283+6.4398i	6.7174-0.70876i	0.71819-6.3562i	-5.2741-2.0669i	-4.3444-2.9239i	-3.6953+3.3832i	2.3823+3.8862i	4.1947-1.036i	-0.27579-3.3381i	-3.1126-0.19699i	-0.17305+2.2729i	1.7372+0.13358i	-0.14721-2.0635i	-1.1013+0.76295i	1.8071+1.0613i	0.69403-1.9686i	-2.95-0.68342i	-0.31374+2.8383i	2.3779-0.06001i	-1.1285+1.69i	2.4606+1.6134i	1.9803-2.8947i	-2.6854-2.1475i	-2.4052+2.4597i	1.6922+2.4726i	2.4004-1.2802i	-0.88761-2.2807i	-1.9816+0.46204i	-0.18621+1.743i	1.6074+0.56537i	0.48578-1.3104i	-0.69753-0.44727i	-0.24233+0.45848i	0.58997+0.18143i	0.39618+0.16869i	-0.41373-0.52864i	-0.72391+0.36729i	0.31931+1.1918i	0.94854-0.57431i	0.090752-1.2245i	-1.4507-0.086997i	-0.69278+1.2742i	1.2942+0.85944i	1.4434-1.0752i	-0.78059-1.5975i	-1.4445+0.38768i	0.43141+1.3439i	1.2576+0.13893i	0.089186-1.0329i
-1.8573+0.49034i	0.073355+2.2048i	2.2683+0.75561i	1.0461-2.0858i	-1.7489-2.1907i	-2.7803+0.81476i	-0.75976+2.9379i	3.3397+1.9451i	3.3908-2.3194i	-1.681-4.215i	-5.5132+0.059449i	-1.8231+6.0943i	6.134+3.6689i	6.2458-5.3496i	-4.3117-7.3182i	-1.9581-8.7475i	-9.6735+0.32907i	-2.544+10.174i	9.1356+5.5728i	7.0796-7.8446i	-6.0918-9.1506i	-10.43+3.9223i	2.3651+11.33i	11.545-0.24132i	1.5886-10.67i	-10.093-2.3419i	-2.2739+8.3633i	8.0316+2.8333i	2.127-6.3157i	-4.022-1.2494i	-1.1116+4.2849i	5.1929+1.3565i	1.0347-5.7985i	-5.1822-1.1675i	-0.82992+5.101i	4.1143+1.2111i	1.3436-3.6013i	-3.1564-1.3175i	-1.024+2.6306i	2.1381+1.598i	1.217-1.9546i	-1.7265-1.5585i	-1.4186+1.5987i	1.4372+1.7156i	2.1387-0.9227i	2.2743-0.9759i	-0.14128-2.3873i	-2.5556-0.19946i	-0.48156+2.5588i	2.4083+1.2397i	1.8836-2.1278i	-1.4984-2.6833i	-3.0318+1.345i	0.90324+2.9085i	3.5578-0.33084i	-0.20955-3.281i	-2.7249-0.068745i	0.12742+2.5436i	2.1184+0.32971i	-0.1004-1.4523i	-1.7203+1.3414i	1.7571+2.7704i	3.1228-2.3343i	-2.1322-3.202i	-3.809+2.0486i	1.3172+3.6714i	3.8286-0.63865i	-0.40624-3.6873i	-3.2845-0.1542i	-0.87343+3.1632i	2.8929+1.4626i	1.5755-2.6451i	-2.0376-1.6147i	-1.7905+1.5862i	1.4471+1.6621i	1.394+1.6198i	1.1856-1.2758i	-1.3591-1.4372i	-1.3326+1.3275i	1.2615+0.92156i	1.5085-0.93967i	-1.1055-1.3259i	-1.5671+0.9328i	0.73457+1.4268i	1.5082-0.41818i	-0.16787-1.7072i	-1.3773-0.36919i	-0.29777+1.0666i	0.91618+0.85097i	0.75146-0.53474i
0.62321-0.74732i	-1.3415-0.6854i	-1.0411+1.9697i	1.9049+1.0734i	1.125-2.5252i	-2.445-0.84645i	-1.4043+2.4211i	2.9915+1.7325i	1.8481-2.7505i	-3.165-2.3745i	-3.2306+2.3968i	2.3784+3.8435i	4.5658-2.3428i	-1.2661-5.4779i	-6.3667+0.81837i	-6.3885-0.17792i	-0.99993+7.396i	7.3106+2.9103i	4.426-6.5137i	-6.0967-5.2641i	-6.7597+4.9736i	4.1431+7.9453i	8.8743-3.1732i	-1.9009-10.251i	-9.7839+0.71356i	0.16292+10.237i	8.7622+0.18157i	0.63189-8.6988i	-7.4152-0.99285i	-0.44921+5.1748i	-1.8371+4.063i	5.6466+2.1314i	1.7285-7.0437i	-6.8882-1.8644i	-1.4764+7.6003i	7.144+2.3705i	3.0132-6.8164i	-6.3616-3.1651i	-3.5932+5.3696i	4.3283+4.7375i	4.864-3.3047i	-2.2786-5.3354i	-5.3262+0.987i	0.066651+5.1456i	4.9774+1.1939i	4.4345+1.5013i	2.9741-3.7375i	-2.8348-3.1296i	-3.3518+1.9294i	1.1632+3.6475i	3.7105-0.56136i	0.017818-3.7086i	-3.619-0.45873i	-0.72751+3.4647i	3.4111+0.83272i	0.38012-2.9857i	-2.3173-0.49248i	0.1549+2.0709i	1.5662+0.11115i	-0.31124-1.0702i	-0.060226+0.4257i	0.3818+0.63796i	0.55635-0.791i	-0.91747-0.51485i	-0.91104+1.1603i	1.2015+0.9384i	1.3279-1.0262i	-1.2141-1.6354i	-1.7647+1.0586i	0.84727+2.313i	2.3994-0.43955i	-0.072173-2.6171i	-2.8781-0.028662i	-0.82182+2.8345i	2.6979+1.1445i	2.6429+1.4432i	1.645-2.5059i	-2.2892-2.2684i	-2.3328+1.5179i	1.524+2.2785i	2.5722-0.61978i	-0.50982-2.3388i	-2.0607+0.27091i	-0.23852+1.7387i	1.1097+0.42188i	0.45874-1.1745i	-0.64738-0.55009i	-0.65839+0.25959i	-0.026797+0.62681i	0.83396+0.2095i
1.5055-0.94251i	-1.2162-1.6086i	-1.6276+1.6897i	1.3959+1.5827i	1.1646-1.6629i	-1.4485-0.25531i	-0.14195+1.7048i	2.4097-0.048529i	-0.40908-2.9621i	-4.0466-0.26288i	-1.0563+4.3428i	5.1924+2.2627i	3.6579-5.7734i	-5.3498-5.7315i	-7.3998+4.5148i	-8.9897+3.5502i	2.0041+10.89i	12.304+0.60723i	3.6652-12.522i	-12.206-5.9815i	-8.9679+11.434i	10.486+12.057i	14.444-9.4323i	-7.234-17.176i	-17.516+5.0742i	3.8962+18.602i	16.382-3.1478i	-2.42-16.837i	-14.159+1.497i	1.4243+9.9125i	-3.2859+0.84396i	1.3335+4.0608i	4.8615-2.0703i	-1.9065-5.005i	-5.286+2.1748i	1.678+5.4201i	5.9579-0.97938i	-0.3185-5.2188i	-5.1477-0.85563i	-1.9124+4.7698i	4.4856+3.059i	4.0568-3.318i	-2.5457-5.0196i	-5.2767+0.68066i	-0.11735+5.0642i	-1.3826+4.4664i	4.3419+2.6232i	3.7844-3.0684i	-1.7508-4.5663i	-4.7284+1.2005i	-0.55169+4.5902i	4.2386+1.594i	2.2183-4.3968i	-3.8129-2.8364i	-3.0825+3.0382i	2.2504+3.2229i	2.6695-2.315i	-1.8888-2.7063i	-1.8902+1.6098i	1.1742+1.1981i	0.48617-1.2334i	-1.7632-0.63906i	-0.66895+1.9137i	1.7906+0.95439i	0.90232-1.7478i	-1.3718-1.0684i	-1.2859+1.0124i	0.68931+1.014i	0.94727-0.45183i	0.0090842-0.78379i	-0.72735-0.27769i	-0.28076+0.71013i	0.20377+0.60406i	0.33529+0.22504i	0.39747-0.23206i	0.52128-0.17551i	-0.080877-0.68262i	-0.70211-0.23224i	-0.47514+0.36219i	0.6514+0.82171i	1.0807-0.2034i	-0.35765-1.2088i	-1.1024+0.070216i	-0.3853+1.2576i	0.6726+0.32875i	0.33457-0.79775i	-0.41044-0.083608i	-0.59399+0.18283i	-0.1786+0.17063i	0.50025+0.097744i
0.58374+1.8226i	2.6268-0.23482i	0.57796-2.8126i	-2.7711-1.4527i	-2.4453+2.4505i	1.6293+3.3122i	4.0746-0.49476i	1.0762-4.0377i	-3.7638-2.4509i	-4.0553+2.4708i	1.2126+5.3051i	5.8143+0.73887i	2.6959-5.6851i	-4.8025-4.7243i	-5.9218+3.0111i	-6.8003+1.7733i	-0.31128+7.3387i	7.5142+1.9981i	3.7261-7.0871i	-5.8443-5.0263i	-6.0294+5.1723i	4.2346+7.4394i	8.2384-3.8479i	-2.9392-8.931i	-9.1066+2.2512i	1.8384+9.4668i	8.793-1.947i	-1.9757-9.2958i	-8.1467+1.9985i	1.7096+5.8431i	-4.2005-1.6782i	-2.5262+5.0391i	6.4787+2.6248i	2.8131-6.2025i	-6.701-3.101i	-3.5319+5.6843i	5.7014+4.3785i	4.6381-4.3865i	-3.6259-5.3569i	-5.6943+2.3414i	1.8213+6.2308i	6.7481+0.096419i	1.1111-6.8314i	-6.5104-3.3627i	-4.2609+5.1471i	-5.492+3.8422i	2.3427+6.5052i	6.9333-0.27462i	1.8901-7.0438i	-6.174-2.7952i	-5.1323+4.9355i	3.5923+6.4267i	6.8566-2.6101i	-0.74875-7.1973i	-6.6075-0.69247i	-1.8044+6.1574i	4.5664+1.4883i	1.8945-4.2281i	-2.2841-1.7824i	-1.0626+1.5035i	-0.38643-1.9786i	-2.4507+0.054301i	0.42053+2.917i	2.9855-0.10222i	-0.26321-3.2791i	-3.2928-0.093131i	-0.7929+3.0368i	3.1032+0.88973i	1.3206-3.1027i	-2.78-2.1419i	-2.6763+2.1653i	1.7235+3.2239i	3.69-1.1743i	-0.19587-3.4963i	-3.2341-0.46195i	-2.8227-1.1073i	-1.9945+2.5907i	1.9768+2.5136i	2.5567-1.0269i	-0.40801-2.2033i	-1.756-0.33194i	-0.99815+1.3033i	0.67334+1.0068i	0.84091+0.16105i	0.40502-0.93864i	-0.79551-0.81231i	-0.66721+0.50969i	-0.15543+0.76611i	0.49528+0.20454i	0.22844-0.59307i
-1.6416+5.1086i	6.6153+2.9667i	4.6504-7.7231i	-6.8529-6.5208i	-8.072+6.2332i	3.8461+8.8278i	9.8799-1.5501i	1.2099-9.1555i	-7.7899-3.7194i	-5.8709+5.4292i	3.1718+7.5409i	7.6872-0.31334i	2.4865-6.6309i	-4.7896-4.5069i	-5.4277+2.1195i	-4.8878+0.099597i	-2.1894+4.3852i	2.4933+3.1883i	3.4115-0.8796i	1.2419-3.0528i	-1.8994-2.2825i	-2.981+0.76519i	-0.62871+2.7814i	2.0171+2.1792i	2.5661-0.94237i	-0.41168-3.0288i	-2.0842-0.3919i	-1.3213+1.7619i	0.83653+2.0841i	1.4541-0.32874i	-1.8478-3.1787i	-4.6054+1.4351i	1.6163+5.2275i	4.9374-0.75656i	-0.2017-5.042i	-4.1551-1.0924i	-1.41+3.9282i	2.6628+1.7936i	2.1285-1.9511i	-0.9195-1.9217i	-1.4771+0.67047i	0.45223+1.5797i	1.2658-0.53555i	-0.75926-1.5025i	-1.7213+0.37742i	-1.9631-0.033498i	-0.54979+2.2495i	2.3759+1.6205i	2.6903-2.2764i	-1.5557-3.2063i	-4.3863+0.28711i	-0.92676+5.1108i	5.0696+2.5282i	4.7721-4.7317i	-3.4848-6.2322i	-7.1717+2.832i	1.5675+6.9841i	7.5865-0.95533i	0.56183-6.704i	-4.7592-0.465i	-0.33422-1.1216i	-0.96164+0.25061i	0.49358+1.2337i	1.1177-0.48696i	-0.84643-1.3535i	-1.6727+0.92855i	0.72226+1.8624i	2.2975-0.55778i	-0.050475-2.6906i	-3.003-0.77744i	-1.7119+2.8354i	2.4347+2.318i	3.5794-2.1193i	-0.72076-4.0996i	-3.9571-0.28166i	-3.5144-1.2289i	-2.7875+3.5184i	2.5606+3.7002i	4.2439-0.94226i	-0.17757-4.0748i	-3.4185-1.312i	-2.1492+3.002i	1.9732+2.5844i	2.5488-0.81474i	0.16037-2.4696i	-2.1216-0.89237i	-0.82092+1.0787i	0.72772+1.287i	1.1891+0.14921i	0.0069041-1.1592i
-3.6329+4.6138i	5.3866+5.7303i	7.7024-6.3091i	-4.8394-9.3433i	-10.911+3.9198i	1.1765+11.443i	11.783+1.5481i	4.2068-10.698i	-8.6548-7.2789i	-9.3773+5.6351i	2.7639+10.852i	11.171+0.90018i	4.433-9.8236i	-7.58-7.3621i	-8.8389+4.6279i	-8.5255+1.508i	-1.2683+9.2864i	7.2618+3.5356i	5.4335-5.1403i	-2.8746-5.6908i	-5.9779+0.49965i	-0.93139+5.2631i	4.523+1.8814i	2.8194-3.5817i	-2.4-2.7749i	-3.0924+1.964i	1.5893+2.3503i	2.0087-1.5485i	-1.2814-1.2417i	-1.1193+1.0373i	0.84394-4.5848i	-6.1463-2.1529i	-3.0118+7.0754i	6.5211+3.9409i	5.3924-6.3784i	-4.4659-6.3821i	-6.9466+3.2415i	0.95021+6.5791i	6.5478+0.99192i	3.0302-5.1889i	-4.0443-3.8535i	-5.1218+2.5515i	0.99451+4.9421i	4.5465+0.68544i	1.5075-3.8448i	2.5308-3.1269i	-2.0765-3.0898i	-2.9241+1.5062i	0.75652+2.9838i	2.8412-0.44315i	-0.032215-3.0345i	-3.1907-0.20919i	-0.578+3.6591i	4.231+1.1681i	1.8636-4.7859i	-4.6046-1.9982i	-2.0328+4.8109i	4.9743+2.4109i	2.365-4.2377i	-3.1777-1.6848i	0.12604-0.7811i	-0.54063+0.021664i	-0.17532+0.9079i	0.5975+0.12384i	0.24803-0.85157i	-0.99744-0.054528i	0.031758+1.2716i	1.3616+0.22874i	0.7551-1.3227i	-1.3322-1.0575i	-1.7898+1.3636i	0.67846+2.0946i	2.7275-0.1982i	0.77979-3.274i	-2.8231-1.5995i	-2.2884-2.3038i	-3.4588+2.0924i	1.068+3.926i	4.359+0.20092i	0.90506-4.1228i	-3.3258-2.1924i	-2.873+2.9599i	2.1249+3.1853i	3.1664-1.0516i	-0.10498-2.8101i	-2.2935-0.72993i	-0.6684+1.4441i	1.3839+1.2365i	1.2717-0.37765i	-0.22153-1.1894i
-2.6383+1.0202i	0.6598+4.2111i	5.217-0.41085i	0.51639-5.6746i	-6.4659-1.236i	-2.3554+6.5458i	6.2082+3.9937i	4.9172-5.6818i	-4.2118-6.7999i	-7.9963+2.333i	0.51738+8.8411i	9.3409+2.3262i	5.0137-8.5461i	-7.2689-7.7917i	-9.5221+5.321i	-10.385+2.5115i	-0.12573+12.547i	12.174+3.3686i	7.3217-10.626i	-9.0629-9.1564i	-11.914+5.8657i	3.4061+13.314i	14.673-0.77934i	3.2076-15.564i	-13.81-5.4743i	-7.3899+13.616i	11.07+7.0348i	8.162-10.566i	-7.8442-7.4971i	-5.601+5.4439i	0.10494-4.857i	-6.3566-0.49596i	-0.47262+7.222i	7.153+1.0022i	1.7629-7.1625i	-6.1431-2.5346i	-3.4601+5.4558i	3.9969+3.7546i	4.4523-2.3412i	-0.71205-4.2881i	-3.9141-0.26031i	-1.9749+3.4489i	2.508+2.4469i	3.0599-1.2182i	-0.029886-2.9584i	1.3514-2.5733i	-1.8127-2.1503i	-2.5388+0.75866i	-0.41907+2.763i	2.5896+1.2032i	2.2312-1.8998i	-1.5376-2.9005i	-3.3966+0.47076i	-0.86162+3.7043i	3.4458+1.312i	2.3471-2.9487i	-2.3604-2.1638i	-2.813+2.1269i	1.0897+2.6348i	1.7924-0.65557i	-0.2115-1.6883i	-2.0343+0.24253i	-0.062044+2.9503i	2.8479+0.40756i	1.2779-3.3407i	-3.129-1.8082i	-2.3053+2.9983i	2.2532+2.856i	3.6045-1.3776i	-0.23048-3.8508i	-3.9931-0.34906i	-1.8316+4.0061i	3.3265+2.8324i	3.515-2.9294i	-1.902-3.9215i	-0.87934-4.208i	-4.4139-0.1196i	-1.0349+4.0968i	3.6744+1.7651i	2.1479-3.1001i	-2.2204-2.7219i	-3.0663+1.6993i	1.0656+2.7456i	2.7631-0.22403i	0.22658-2.1399i	-1.5381-0.85255i	-0.70612+1.5451i	1.278+1.0328i	1.054-0.86558i	-0.3368-0.88565i
-0.16834-1.6838i	-2.4314+0.67868i	0.45035+3.3918i	3.1896-0.21517i	-0.17239-3.3813i	-2.9382-0.30444i	-0.50159+3.0683i	2.3933+0.48238i	1.0312-2.168i	-2.2726-1.1483i	-1.3006+2.0606i	2.0741+2.0086i	2.4949-1.6552i	-1.4196-2.8722i	-3.4845+0.9218i	-3.9692+0.042549i	-1.0682+4.6757i	4.8822+2.5845i	4.5762-4.1172i	-3.3978-5.4983i	-6.9665+1.4056i	-0.40797+7.9501i	8.8617+2.6179i	5.5986-9.2061i	-7.7513-7.3554i	-8.8373+7.2762i	5.7536+8.6127i	9.7446-5.1421i	-3.3038-8.9827i	-6.82+2.3682i	-2.4633-3.5522i	-4.6179+3.6417i	5.1108+5.0292i	5.4612-4.9226i	-5.6011-5.6268i	-6.0831+5.0966i	4.1737+6.5982i	6.6033-3.2222i	-1.8435-6.4225i	-6.3849+0.47556i	-0.25089+5.9625i	5.3357+1.7598i	2.5066-4.6994i	-3.4615-3.2015i	-3.0934+2.6361i	-2.9418+1.9191i	1.0937+3.3004i	2.6842-1.0611i	-0.5241-2.5942i	-2.2174+0.5284i	0.24602+2.7441i	2.6134-0.10423i	0.01412-3.4829i	-4.1928-0.55187i	-1.0254+4.2286i	4.5109+1.6233i	1.4597-4.502i	-4.9633-2.0228i	-2.2545+4.1552i	3.0474+1.6843i	0.033104-1.3751i	-1.623-0.47374i	-0.7045+2.3697i	2.3797+1.1154i	1.8987-2.5984i	-2.1701-2.5194i	-3.0834+1.6756i	0.73138+3.4614i	3.8046+0.09692i	1.395-3.811i	-3.3478-2.2336i	-3.5725+2.9718i	1.8442+4.2734i	4.6657-0.77765i	0.11026-4.4449i	1.2719-4.2978i	-3.8823-2.6582i	-3.0718+3.1613i	2.1535+3.4945i	3.3491-1.3783i	-0.47626-3.3149i	-3.1817-0.058796i	-0.59153+2.5569i	2.5171+1.3274i	1.3845-1.8235i	-1.1838-1.8078i	-1.3674+1.5246i	0.95993+1.4894i	1.2994-0.92985i	-0.42073-0.85859i
-0.76598-1.5402i	-2.1575+1.4629i	1.4022+2.8536i	2.4006-1.3737i	-1.3039-2.4891i	-2.5+0.54094i	0.42195+2.5225i	1.8751-0.064613i	0.57327-0.99967i	-0.91402-0.59211i	-0.56535-0.018824i	-0.37404+0.49368i	-0.024227+1.0913i	1.4896+1.2872i	1.7034-1.7826i	2.4636-1.4441i	-1.3217-3.9576i	-4.6519+0.79607i	-0.4104+5.1043i	5.6717+1.583i	3.0524-5.904i	-6.2264-4.2717i	-5.4817+6.7977i	6.2646+7.1784i	7.8737-5.7418i	-5.6242-8.7609i	-7.6576+5.4369i	5.445+7.9658i	7.0854-4.5986i	-3.9974-4.6792i	-3.1928-1.6514i	-2.0234+4.8954i	6.6375+1.8975i	2.2926-6.6857i	-7.9602-2.5244i	-3.3414+7.9118i	7.6932+4.2768i	4.8754-7.1395i	-6.0464-5.9029i	-7.1751+4.7122i	3.7193+7.7135i	8.5071-1.6329i	-0.075013-8.832i	-8.0805-1.9779i	-3.4496+7.4282i	-4.829+6.2932i	4.6216+6.6292i	6.9292-3.3129i	-0.92043-7.2291i	-6.8853-0.30915i	-2.6007+6.6714i	6.0831+3.685i	4.8546-5.5881i	-4.3512-6.2262i	-6.3147+3.0505i	2.173+6.6455i	5.5208-2.035i	-1.3527-5.9859i	-4.7432+0.71553i	0.59234+3.2441i	1.1275+0.49219i	1.0376-1.8737i	-2.1513-1.2979i	-1.5312+2.1148i	2.2843+2.0088i	2.5018-1.9529i	-1.6266-3.039i	-3.3529+1.4819i	0.85753+3.4904i	3.6951-0.046069i	0.70546-3.9889i	-4.1548-1.5396i	-2.2762+3.8384i	3.5108+3.1504i	3.3143-2.7405i	3.9214-2.1711i	-1.5272-4.8426i	-4.575+0.85465i	0.025608+4.6621i	4.0723+0.69799i	1.5665-3.6562i	-3.0867-1.853i	-2.0646+2.6562i	2.312+2.7465i	2.5895-1.7363i	-1.0401-2.9443i	-2.2489+1.0633i	0.61229+2.3512i	1.8557-0.43493i	-0.30495-1.1719i
-2.9203+0.59647i	0.4787+4.3081i	4.9217-0.48733i	-0.47168-5.1925i	-5.4369+0.27881i	-0.73248+5.0695i	4.6576+1.5645i	1.6916-4.0966i	-3.2786-1.7545i	-2.3025+2.6987i	2.1022+1.7149i	1.8714-1.5973i	-1.4015-1.2979i	-0.68883+1.8343i	1.878-0.080318i	2.5941+0.10226i	0.10767-3.7238i	-4.5948-0.52436i	-1.8614+5.0278i	5.6948+2.9169i	4.5637-5.58i	-5.6615-6i	-7.3894+5.8538i	4.7665+9.2307i	9.5229-3.9608i	-3.8575-10.142i	-8.7605+3.7364i	3.5868+8.7974i	7.557-2.7107i	-2.6555-4.9094i	-1.6247-0.44992i	-0.48006+2.6878i	3.5722+0.25927i	0.44306-3.804i	-4.552-0.83358i	-1.1386+4.622i	5.1161+1.6422i	2.0408-5.028i	-4.4981-2.9033i	-4.0155+3.9788i	3.2478+4.9077i	5.5887-1.9878i	-1.064-6.4996i	-6.1648-0.44786i	-2.1769+6.0696i	-3.4876+5.387i	4.206+5.0586i	6.1099-2.8848i	-0.86775-6.3226i	-6.4924-0.31016i	-2.8353+6.0172i	5.6212+3.6729i	5.0504-4.8223i	-3.4296-6.3574i	-6.1571+1.945i	1.3296+6.4562i	5.4649-1.0115i	0.033205-5.7996i	-4.4316-0.23266i	-0.16887+2.8964i	1.2211+1.1584i	1.82-1.7118i	-2.0421-2.5267i	-2.8204+1.8457i	2.0129+3.4911i	4.02-1.2954i	-0.57726-4.5447i	-4.4999+0.38429i	-0.56321+4.5215i	4.1567+1.7419i	2.4033-4.1757i	-3.8987-3.4008i	-4.0318+3.2147i	2.3938+4.6968i	4.6881-1.6349i	4.9583-0.74424i	-0.059539-5.4098i	-5.0298-0.6371i	-1.211+4.7827i	4.0739+1.8646i	2.7112-3.4145i	-2.6992-2.8698i	-2.8819+2.4073i	1.6109+3.3309i	3.0897-1.0648i	-0.34105-3.2625i	-2.6004+0.17251i	-0.1063+2.6133i	1.9395+0.39677i	0.21791-1.2788i
