22,0.5,10,26,0.2,1
4.0567+1.3244i	1.5433-5.5668i	-6.9677-1.1498i	-0.71939+6.7154i	7.1976+0.24194i	0.6085-6.1909i	-6.2532-0.22695i	0.073845+5.4044i	5.4162-0.28423i	-0.9827-5.401i	-5.7131+1.353i	2.3637+6.675i	7.8544-2.5791i	-2.6534-9.395i	-10.402+1.8478i	-11.768+1.1915i	-0.024314+13.811i	14.914+1.4067i	3.923-15.717i	-14.906-5.0946i	-7.9655+14.839i	14.083+9.8984i	11.847-14.281i	-13.201-13.369i	-13.45+11.37i	11.177+12.899i	10.102-9.6744i	-9.1379-8.4704i	-6.7271+7.2032i	5.1003+3.243i	-1.9676-1.6514i	-2.788+2.1746i	2.7066+3.4633i	4.3499-2.4687i	-2.1442-4.9812i	-5.271+1.6243i	0.7339+5.5812i	5.4207+0.54815i	1.5578-5.2036i	-4.7531-2.307i	-3.5059+4.2493i	3.0347+4.1029i	4.3363-1.6533i	-0.5749-4.17i	-3.712-0.48424i	-3.332-1.3028i	-2.1107+2.4795i	1.9837+2.5265i	2.5663-1.0492i	0.092799-2.6383i	-2.3049+0.15095i	-0.50463+1.9269i	1.9373+0.85229i	-0.15063-1.6642i	0.28451-0.89317i	-1.1864+0.81306i	0.12014-0.96934i	-1.7797+0.18964i	1.9808+0.5018i	0.36045-0.34627i	0.49967-2.4679i	-3.7161-0.086868i	0.42495+4.4901i	4.1063-0.39467i	-0.99846-4.3971i	-3.8165+0.72104i	0.59411+3.531i	2.9854-0.51045i	-0.80223-2.5315i	-2.5387+0.30699i	0.22818+2.3903i	2.3129-0.43763i	-0.016945-2.0403i	-1.9144+0.20739i	0.26504+1.9377i	-0.050507+1.9776i	1.939+0.46373i	0.38462-1.7061i	-1.7407-1.0582i	-1.0392+1.2109i	1.0509+1.4099i	1.4107-0.70167i	-0.25792-1.8059i	-1.8291-0.093035i	-0.8817+2.1915i	1.3605+1.2324i	0.72419-2.1804i	-2.0039-0.56417i	-0.89221+0.94741i	1.4625+0.84148i
5.936-0.65338i	-0.97124-8.6412i	-11.274+2.5151i	3.0529+11.749i	13.851-3.6913i	-2.346-13.849i	-15.027+1.7954i	0.99724+14.811i	15.184+0.93254i	2.9629-14.387i	-14.588-4.5386i	-6.344+14.358i	13.955+7.4054i	8.7996-12.459i	-11.404-9.5498i	-10.015-9.9455i	-10.617+9.492i	8.2072+10.414i	10.287-7.0385i	-6.324-9.4309i	-9.3378+5.7035i	4.9164+8.8894i	8.8619-5.7899i	-5.8646-8.7718i	-7.9094+5.7161i	7.1364+6.7498i	4.4595-6.4136i	-7.3845-2.8602i	-1.6796+6.254i	4.5588-0.17817i	-2.4109-2.8661i	-3.6408+3.1116i	4.116+3.7712i	3.8033-3.9422i	-4.5199-3.648i	-3.5921+3.8858i	3.5656+3.7004i	3.5821-2.8169i	-2.2018-3.5931i	-3.8341+1.3513i	0.44559+3.5358i	3.3873+0.11487i	0.49777-3.1106i	-2.7766-1.125i	-1.3772+2.0758i	-2.0681+1.3078i	0.76729+2.1902i	2.1598-0.32179i	0.67238-2.01i	-1.4574-0.8934i	-1.7496+1.5704i	0.71679+1.6496i	2.4772+0.11786i	-0.71567-2.6105i	-2.368-0.90617i	-3.4239+2.0032i	2.5098+0.042419i	2.2206-2.5357i	-0.38443-1.2733i	-1.0548+1.3781i	-0.54124-1.893i	-2.665+1.2827i	2.5234+3.7058i	3.4767-3.067i	-3.5921-3.6884i	-3.7529+3.4763i	3.4291+3.709i	3.5219-3.1976i	-3.1147-3.6145i	-3.9534+2.481i	1.9447+4.0765i	3.9688-1.6819i	-0.95223-3.8464i	-3.7678+0.64549i	0.094352+3.7264i	-0.37031+3.3086i	3.2029+0.68377i	0.8959-2.7873i	-2.7665-1.467i	-1.3332+2.111i	1.6309+1.6429i	1.4997-1.4534i	-1.3519-1.5813i	-2.2612+0.40484i	-0.43996+1.7752i	1.8517-0.11536i	0.47749-1.9901i	-2.0721+0.52778i	-0.94772+1.0385i	1.5085+0.94101i
3.1579-0.69904i	-0.71823-4.4611i	-5.8461+1.7571i	2.2722+6.1742i	7.3048-2.8461i	-1.9864-7.5713i	-8.2417+1.946i	1.641+8.5932i	8.972-0.48196i	0.88333-9.1044i	-9.4779-1.9828i	-3.5132+9.9764i	10.024+4.6521i	6.2329-9.3084i	-8.8844-7.1756i	-7.6829-8.0788i	-9.2592+7.1467i	5.4858+10.032i	10.078-3.4229i	-2.5025-9.8076i	-9.6155+0.6965i	-0.97769+9.0841i	8.9051+1.628i	2.8479-8.4023i	-6.9272-3.2712i	-3.2007+5.9831i	4.5539+3.245i	2.7995-3.66i	-2.3848-2.4937i	-1.7022+1.3327i	-2.6205-0.68901i	-0.63965+3.9318i	5.2085-0.48293i	-0.63374-5.5164i	-6.5524+1.3242i	1.173+6.5425i	7.2291-0.58025i	-0.084621-6.9707i	-6.9251-0.79151i	-2.1971+6.1771i	5.6249+2.7418i	3.9947-4.8544i	-3.9084-4.7173i	-5.3843+2.2676i	0.81174+5.1813i	-0.60008+4.6736i	4.05+1.9426i	2.4658-3.1774i	-1.4069-3.1624i	-3.1485+0.84564i	-0.9546+2.7709i	2.0515+1.422i	2.6816-0.95486i	-0.42043-3.0316i	-3.7903-1.0804i	-4.0931+3.1164i	3.2047+2.3854i	5.6043-4.2941i	-2.8876-3.7871i	-2.9172+2.5236i	-0.10665+0.14992i	0.57652+0.39344i	1.0671-0.14691i	-0.39989-1.8106i	-2.2916+0.6461i	0.32906+2.5875i	2.9881-0.44623i	-0.36032-3.291i	-3.4099-0.235i	-0.85605+3.6749i	3.419+1.3965i	1.7647-3.5119i	-3.1333-2.362i	-2.9084+2.5728i	1.778+3.3816i	1.3176+3.3641i	3.2054-0.79666i	0.013194-3.1038i	-3.0745-0.69661i	-0.90234+2.4819i	1.7829+1.2997i	1.2066-1.5329i	-1.4666-1.1059i	-1.6718+0.31919i	-0.23187+0.77057i	1.1979-0.36589i	0.84663-0.73465i	-0.48351-0.079189i	-1.1812+0.39417i	0.39505+0.91492i
0.21744+1.6255i	2.5877+0.0079665i	-0.0032005-3.2261i	-2.9117-0.32404i	-0.85672+2.7754i	2.5848+1.2724i	1.9658-1.6044i	-0.8066-1.8755i	-2.2658-0.18287i	-1.8796+1.3605i	1.1169+2.7031i	3.9425+0.44441i	1.5776-4.2137i	-4.3782-3.7256i	-5.3155+4.0346i	-6.5858+3.2019i	1.9671+8.0545i	8.4004-0.03561i	1.8583-7.9475i	-6.9305-3.3251i	-4.9851+5.2616i	3.4486+6.1247i	6.9022-1.4644i	1.1737-7.0652i	-6.1077-3.2917i	-5.7895+5.6126i	4.9835+6.7063i	8.4047-4.5297i	-3.5415-8.2002i	-6.5121+3.0558i	-0.21078+1.498i	1.4033+1.0008i	1.9956-1.908i	-1.3317-2.8376i	-3.7962+1.1321i	0.59525+4.6187i	5.7771+0.53727i	1.2818-5.691i	-6.0369-2.5016i	-3.8939+5.3463i	4.8387+4.8825i	6.0279-3.6897i	-2.4633-6.5947i	-7.0135+0.6793i	-1.0159+6.4749i	-2.1878+5.8196i	4.6112+3.5568i	3.9232-3.0702i	-1.1055-4.6901i	-4.0861+0.25018i	-1.4698+3.0602i	2.323+2.2665i	3.0851-1.1799i	0.82127-3.3066i	-3.3153-2.1165i	-3.5174+3.5565i	2.6171+4.5722i	5.7157-3.8078i	-3.4118-5.4124i	-3.8641+2.3173i	0.68149+0.69509i	1.677-0.75288i	-0.8315-1.8941i	-2.4864+0.53174i	-0.14759+3.2233i	3.3669+0.48239i	1.355-3.7037i	-4.0061-1.9179i	-2.3882+3.359i	2.8978+3.3735i	3.7976-2.2679i	-1.3783-4.623i	-4.7057+0.55423i	-0.57993+4.5063i	4.011+1.4993i	3.4521+2.1784i	2.0535-2.8582i	-1.7445-2.5629i	-2.5006+0.86006i	0.17915+2.0745i	1.4034+0.35667i	0.72368-1.0724i	-0.62297-0.668i	-0.50194+0.034069i	-0.443+0.13201i	0.11089+0.77875i	1.2312+0.32084i	0.96011-1.5432i	-1.2424-0.7285i	-0.81314+0.97308i
0.17902+2.5014i	3.5676-0.36527i	-0.90157-4.6745i	-4.1418+1.0117i	0.87687+4.1971i	3.7234-0.70251i	-0.33466-2.9271i	-2.1716+0.37203i	-0.021546+1.2048i	-0.47497-0.38267i	-0.46343+1.0908i	2.7663+1.4951i	1.948-3.4766i	-4.2613-3.8999i	-4.9966+4.9035i	-6.109+5.0248i	5.0483+7.4626i	8.3934-4.7004i	-3.7116-9.1689i	-8.3966+3.2085i	2.4843+8.2047i	7.7542-1.9192i	-2.3395-6.9977i	-6.2465+2.7137i	3.0927+4.3627i	2.349-4.1384i	-3.7476-0.29857i	1.8116+4.6737i	4.0435-2.811i	-3.5604-2.2708i	3.1092+0.50022i	-0.68497-3.799i	-3.541+2.393i	2.9872+2.6871i	2.1376-4.1806i	-4.526-1.2189i	-0.35531+5.4127i	5.0776+0.24164i	-0.1177-5.2358i	-5.3459-0.31051i	-0.16799+5.6388i	5.1875+0.74324i	1.3496-5.0814i	-4.6587-1.6297i	-1.8604+4.0849i	-2.0842+3.5385i	2.7906+2.165i	1.8313-1.9956i	-1.3524-2.1427i	-1.2101+1.2241i	1.0052+0.43068i	0.0091349-0.94468i	-1.3771+0.70812i	1.8879+1.8267i	2.5033-2.6456i	-2.5484-2.1376i	-1.9424+4.1765i	3.5836+1.6106i	1.0467-4.359i	-2.9533-0.60359i	0.77136-0.26172i	0.055432-0.51973i	-0.45789-0.27935i	-1.0725+0.56175i	-0.68304+2.0899i	2.5021+0.87674i	2.0614-2.5036i	-3.4106-2.0571i	-2.3314+2.8795i	2.6339+3.1052i	3.607-2.0544i	-1.2478-4.2675i	-4.196+0.87985i	-0.029935+4.3276i	4.0056+0.67309i	3.2491+1.2912i	1.1201-2.7799i	-2.0396-1.6544i	-1.397+1.4137i	0.78157+1.0102i	0.36564-0.35331i	0.16252-0.36058i	0.4862-0.20428i	0.36855-0.31869i	-0.86988-0.18342i	-0.56005+1.5943i	1.1897+0.76913i	1.2093-1.7457i	-0.99891-1.4594i	-1.1538+0.80487i
1.298-0.56671i	-0.36611-2.4166i	-4.3033+0.10506i	1.1244+5.4579i	6.3778-1.3983i	-0.68202-7.5541i	-8.7799-0.24347i	-0.30783+9.3127i	9.5382+1.2529i	3.4931-8.948i	-8.721-5.3575i	-5.7971+7.8359i	6.4099+6.1828i	7.2442-4.8591i	-3.1806-6.1315i	-1.2057-5.1554i	-3.7874-0.30369i	-1.2114+1.5096i	-0.90046+1.5285i	1.6356+3.2123i	5.8108-0.9086i	0.0099437-7.9683i	-10.62-1.3097i	-3.7378+12.575i	13.077+4.5699i	5.5552-14.403i	-12.933-4.5316i	-4.6398+13.927i	11.895+3.9641i	1.7406-8.1967i	1.4239-1.152i	-2.9362-2.8466i	-2.6188+5.471i	4.7078+2.0456i	2.5025-5.0763i	-5.7455-2.5921i	-2.2415+6.6368i	4.5883+1.9316i	2.8477-3.6331i	-3.6224-3.124i	-1.8685+3.1965i	1.1702+1.5666i	2.2922-0.82726i	-0.70339-1.1889i	0.050486+0.53524i	0.43462+0.23177i	0.57023-1.125i	-1.781-1.1138i	-1.8646+1.923i	1.9664+2.7835i	3.6455-1.9928i	-1.8438-4.3265i	-5.4995+1.8651i	1.2536+6.1031i	6.5214-1.0741i	-0.74728-6.7146i	-5.0827+0.99834i	0.82289+5.1381i	4.494-0.97661i	-0.59951-2.5172i	0.17761+0.36594i	-0.54848+0.49588i	0.56722+0.50635i	-0.44628-0.011625i	-1.5615+1.514i	1.2438+2.2093i	3.4558-0.23626i	-1.2831-2.442i	-2.4232+0.75435i	0.27367+3.1444i	3.1496+0.35562i	0.68115-2.7633i	-2.2645-1.08i	-1.3711+2.3475i	1.7784+1.5524i	1.0927+1.5416i	1.2311-0.57285i	-0.40682-1.2057i	-0.78977+0.23752i	0.052289+0.30458i	-0.30924+0.13944i	0.18914+0.12033i	0.89564-0.1894i	0.23031-0.62235i	-1.004-0.30401i	-0.59935+1.1572i	0.95962+0.75989i	0.84674-0.97034i	-0.74373-1.3624i	-0.84771+0.48841i
1.0817-3.4338i	-3.4373-1.8962i	-3.9162+3.2572i	4.2008+4.8632i	5.1589-4.7215i	-2.6411-6.6854i	-8.1903+0.52429i	0.61173+8.7251i	8.7391+0.87989i	5.1267-7.8052i	-7.1538-7.922i	-8.7748+5.3451i	3.6547+9.4951i	11.944-0.53948i	1.8975-11.11i	4.7882-10.253i	-9.1353-7.4425i	-9.1263+6.9225i	3.7965+10.507i	9.9957-1.2396i	1.7356-9.6812i	-8.9061-4.1036i	-6.0193+7.5374i	5.2268+7.7327i	8.3234-3.0658i	-0.94136-8.369i	-7.2883-0.085481i	-1.7934+7.169i	6.0658+2.5918i	2.2606-4.3599i	-3.8351+1.3997i	0.534+3.0719i	4.1779+0.39534i	-1.4048-5.0216i	-3.7323+2.8544i	0.39969+2.9988i	3.7242+1.5345i	-0.5958-4.1848i	-1.7358+0.65254i	-1.6378+1.3178i	2.7513+2.1237i	0.45176-2.61i	-0.060451-0.84499i	-2.1733+0.023771i	0.43304+1.8778i	-0.048111+1.2775i	1.3592+0.83698i	1.0506-1.4844i	-1.0148-1.1806i	-1.9855+1.3092i	0.4807+2.1349i	2.3811-0.11778i	-0.095842-2.7137i	-2.881-0.87107i	-0.92258+3.0176i	2.7579+1.0029i	1.3-3.2066i	-2.5227-1.4554i	-0.74951+2.5773i	1.7597+1.0057i	-0.23876+1.7718i	-0.037608+0.61136i	-0.13605+0.12538i	-1.2473+1.483i	0.62362+2.173i	1.168+0.79139i	1.6022+0.30151i	-0.65205+0.026672i	-0.15875+0.41286i	-0.15824+1.4514i	1.3613+0.40022i	0.23395-0.41993i	-0.029613-1.2472i	-1.1887+0.34362i	-0.19986+1.2727i	-0.33425+0.94304i	0.63411+0.8302i	0.71205-0.33197i	-0.22289-0.64286i	-0.56606-0.13842i	-0.29999+0.63831i	0.34736+0.46578i	0.71728-0.17419i	-0.048981-0.79006i	-0.77562-0.50544i	-0.56467+0.4718i	0.84361+0.589i	0.63109-0.68656i	-0.64142-0.98567i	-0.53963+0.44425i
-0.89495-1.4372i	-0.70352+1.073i	0.34934-0.34513i	-0.18586-0.33175i	-0.85465+0.15379i	1.5998+0.26708i	-0.091485-2.6524i	-1.7722+0.32733i	0.14469+1.8682i	3.407+0.29367i	0.49892-4.3734i	-3.9499-0.87848i	-0.73889+4.0246i	5.4325+1.521i	1.7341-5.6913i	2.1983-5.8668i	-6.5729-2.7552i	-3.0517+6.9637i	6.9533+3.9825i	3.7966-6.9046i	-7.0878-4.6509i	-5.0705+7.5996i	8.658+5.2651i	6.1991-8.9739i	-8.4927-5.8771i	-5.3264+9.4828i	8.3125+3.7134i	2.9562-9.0587i	-7.6137-1.9002i	-0.28157+5.0534i	-4.1503+5.0651i	5.4697+4.2762i	5.3561-6.1031i	-6.9316-6.3784i	-5.609+8.3343i	5.1926+5.7419i	7.101-3.1696i	-3.2234-7.5799i	-5.856+1.6805i	-1.8444+5.5517i	5.8208+3.4001i	3.7063-4.749i	-1.712-4.8672i	-6.4766-0.31974i	-1.742+5.9428i	-3.2914+5.0749i	4.1357+5.9378i	7.156-3.0544i	-0.4943-8.0871i	-8.6662-0.77173i	-3.7816+8.7097i	8.7478+5.6619i	7.3955-9.16i	-7.7871-9.8681i	-10.255+6.9532i	6.367+11.003i	9.1383-6.1277i	-5.6231-9.3202i	-7.5632+4.6981i	3.1846+4.9701i	-0.48548+0.91741i	-0.56919+0.24549i	-0.58763+0.76052i	-0.30945+2.0501i	2.1866+0.87154i	0.1512-1.2138i	-1.2297+0.47832i	-0.27381+2.4469i	2.1869+0.5536i	0.51835-1.2057i	-1.0801-1.0438i	-1.5739+1.4602i	1.5448+0.80613i	1.1756-0.8548i	-0.80166-1.1894i	-0.42731-1.525i	-1.8391+0.55221i	0.26307+2.0036i	1.6146+0.015373i	0.14016-1.6184i	-1.131-0.29138i	-0.46505+1.5369i	1.3557+0.79722i	0.85697-1.3437i	-0.923-1.2466i	-1.0887+0.68539i	0.93783+0.81055i	0.9026-0.9137i	-0.58667-1.0459i	-0.57513+0.61118i
-2.4315+2.8279i	4.1114+3.0492i	3.4141-5.6723i	-6.2692-3.6241i	-3.5299+7.2053i	6.7061+3.7256i	4.3539-6.0799i	-5.2329-4.0855i	-3.768+4.1591i	2.4156+3.8693i	3.2177-1.3798i	-0.74989-2.0382i	-0.59666+0.45478i	-0.16956-0.99367i	-2.781-0.88189i	-4.3065-1.5534i	-3.298+5.7297i	6.9579+5.1981i	7.5192-7.0885i	-6.8082-9.1412i	-11.473+5.6755i	4.9356+13.886i	16.342-4.2328i	-1.5317-18.057i	-17.874+0.17642i	-0.53917+18.479i	15.732-0.26494i	0.33377-15.799i	-13.207-0.3879i	0.29+8.6764i	1.7686+3.2901i	3.6608-1.9475i	-2.571-3.8268i	-3.1767+2.4826i	2.3059+2.7212i	1.9189-1.0699i	-0.35871-1.9443i	-0.63721-0.043953i	-0.69171-0.24303i	-1.3149+1.1936i	0.67386+1.8136i	2.9587-0.30795i	0.023716-3.6905i	-3.8782-1.3254i	-2.4249+3.9145i	-3.1131+3.8074i	3.3403+5.0157i	5.9044-2.8787i	-1.2926-6.993i	-7.1444+0.10786i	-1.7316+7.7329i	8.0879+3.113i	4.5856-8.892i	-8.3033-6.2832i	-7.0194+7.5582i	7.8391+7.5575i	6.0179-6.8839i	-7.3449-5.9314i	-5.0981+5.7999i	4.1983+2.5347i	-0.83608-0.07197i	-0.10134+0.49462i	0.8122-0.063556i	0.14929-0.48296i	-0.26522+0.030208i	-0.026378-0.032441i	-0.33791-0.23414i	-0.28038+0.37222i	0.47446+0.37015i	0.5019-0.69654i	-0.69784-0.87033i	-1.1756+0.29067i	0.67918+1.3199i	1.7296-0.33694i	-0.035653-1.9101i	0.00029354-2.1927i	-2.5967+0.024963i	-0.18517+2.7701i	2.4429+0.41996i	0.52838-2.4057i	-2.0237-0.87216i	-0.89935+2.2231i	2.0775+1.2185i	1.4423-1.7665i	-1.3489-1.4366i	-1.2562+1.1963i	0.98343+0.95491i	1.0865-0.89963i	-0.51288-1.1526i	-0.69057+0.58769i
-1.2422+3.2577i	4.1833+1.5574i	1.8468-5.1804i	-5.7036-2.166i	-1.5815+6.5924i	5.4537+2.0802i	2.9851-4.6135i	-4.1925-2.7682i	-2.452+3.0127i	1.0296+2.4462i	1.8772+0.47869i	0.84443-0.64322i	0.47497-1.2486i	-2.5958-2.2449i	-4.2403+1.8755i	-5.8631+1.6887i	0.7195+7.6404i	9.4326+0.68291i	2.7733-10.497i	-10.599-4.3952i	-6.6782+10.612i	10.583+8.9113i	10.765-10.817i	-9.2017-12.989i	-13.535+8.1289i	7.3596+13.835i	11.722-7.0347i	-6.3967-11.335i	-9.8527+5.2171i	3.8892+6.1203i	4.7436-1.7122i	-2.0519-5.7192i	-7.2995+2.8907i	3.062+8.1617i	7.9232-4.0213i	-2.5423-6.9361i	-7.2985+0.87601i	1.0851+6.888i	5.4402-0.1304i	1.2793-4.2266i	-4.0403-2.2716i	-2.0176+2.8603i	0.92643+2.0331i	2.3451+0.025065i	0.61328-1.5405i	1.3602-0.45589i	0.60771-1.3836i	-1.1135-1.7803i	-2.8728+0.38547i	-0.072693+3.0144i	3.7459+1.6306i	2.7253-3.9241i	-3.8603-4.0495i	-5.6771+3.6261i	2.5987+6.0431i	7.4929-2.5748i	-2.2154-6.5313i	-7.6028+2.3276i	1.6769+6.3086i	4.8702-2.155i	-0.61622+1.6527i	2.5234+0.57833i	1.4372-3.4038i	-2.5816-2.1203i	-2.4555+2.7449i	2.6984+2.2297i	2.5968-2.7572i	-2.0093-3.3329i	-3.2911+1.2218i	0.57028+2.8427i	2.7019+0.24532i	0.74574-3.2383i	-2.4058-0.72457i	-1.0642+2.025i	1.8098+1.1542i	0.97116+1.1237i	0.91337-0.56134i	-0.14377-0.62298i	-0.39972-0.26685i	-0.39646+0.12454i	-0.33276+0.42059i	0.43645+0.45174i	0.55382-0.34214i	-0.12915-0.60704i	-0.79131+0.014481i	-0.069071+0.62864i	0.5711+0.11448i	0.35597-0.46393i	-0.37902-0.48018i	-0.35012+0.22545i
0.59579-0.19757i	-0.30929-0.57576i	-0.63338+0.91155i	1.1152-0.13943i	-0.094005-1.892i	-2.3317+0.57313i	0.9295+2.8452i	3.3703-0.73342i	-0.47847-4.4185i	-4.9525-0.46006i	-0.96697+5.7015i	6.2644+2.5748i	3.4924-6.2399i	-6.0727-5.0654i	-6.4454+5.1389i	-7.712+4.5723i	3.7267+9.3652i	10.448-2.2177i	-0.071426-11.296i	-11.14-1.4808i	-3.7338+11.292i	10.956+5.7186i	6.8899-11.051i	-10.014-9.2191i	-9.7948+9.0152i	8.0096+10.267i	8.8096-7.1079i	-6.8131-8.6992i	-7.9037+5.4625i	4.3813+4.9517i	0.77033-3.3195i	-3.5365-1.407i	-1.8052+4.047i	2.852+2.4869i	2.5578-2.431i	-1.4506-2.7209i	-3.0289+0.35341i	-0.69108+2.7611i	2.5472+1.7028i	2.5097-1.6534i	-0.73356-3.0965i	-3.3329-0.54221i	-1.7173+3.27i	2.5186+2.8794i	3.7666-1.7329i	4.2906-0.44324i	0.85359-4.5043i	-3.9827-2.3578i	-3.8764+3.2783i	2.4442+4.3975i	5.3351-0.75388i	0.53072-5.8345i	-6.0681-1.8612i	-3.7785+5.8877i	4.9556+4.4868i	5.9074-4.7527i	-3.672-5.3299i	-6.1119+3.4127i	2.6015+5.2599i	4.0658-2.1799i	0.42128+3.389i	3.935-0.2868i	-0.14168-4.9929i	-4.7163-0.38568i	-0.78035+5.1297i	4.7647+1.743i	2.7443-4.4074i	-3.5634-3.2833i	-3.9165+2.5147i	1.275+4.2594i	4.3871+0.072052i	0.97528-4.608i	-4.1143-1.8937i	-2.9485+3.6058i	3.0187+3.6673i	1.9677+3.9257i	4.1378-1.463i	-0.47031-4.0817i	-3.5759-0.53523i	-1.0041+3.2678i	2.4864+1.6138i	1.7692-2.1649i	-1.9344-1.9504i	-2.0381+1.3151i	0.53189+1.6084i	1.3451-0.60111i	-0.060543-1.0032i	-0.78428+0.059641i	-0.15728+0.57173i	0.25414-0.21412i
