25,0.5,10,22,0.2,1
-3.0461-1.1983i	-1.7045+5.1342i	7.2556+2.1978i	2.8676-7.9079i	-10.365-3.9456i	-4.9623+10.158i	10.656+6.0479i	7.0423-10.098i	-9.66-8.7546i	-10.083+7.8318i	6.5813+11.184i	12.156-5.0678i	-2.9941-11.562i	-11.326+1.099i	-0.46177+9.8896i	-1.2023+8.402i	7.4562+2.2057i	2.2381-5.5709i	-3.4273-1.7537i	-0.55969+2.488i	0.89026-0.45389i	-1.5302-0.21755i	0.11293+2.5735i	3.8745-0.98686i	-0.8408-4.9139i	-5.4133+1.683i	1.9253+4.5956i	4.9297-2.8438i	-2.5921-3.8269i	-2.0158+2.7842i	-1.5731-1.3114i	-0.67294+1.8181i	2.1241-0.41859i	-0.72053-1.4473i	-1.446+1.407i	1.7827+1.0678i	0.4151-1.7506i	-1.6686-0.36576i	-0.55177+1.7417i	1.1988+0.36987i	0.090085-1.1024i	-0.9953+0.023589i	0.33192+0.83612i	1.2775-0.67381i	-1.1399-1.2215i	-1.4567-1.8661i	-2.5237+1.8729i	1.5597+3.6055i	3.9263-1.1671i	-0.70793-4.7611i	-5.768-0.55616i	-1.5326+6.3979i	6.9898+1.8446i	3.4478-7.8156i	-7.5364-4.2121i	-4.7473+7.836i	6.8621+4.1184i	4.1773-7.2089i	-5.9696-3.6489i	-2.1493+4.587i	-0.68129+2.7634i	3.304+0.38276i	0.29887-3.9196i	-3.743-0.46987i	-0.12989+3.4297i	3.1138+0.29777i	0.52658-2.2844i	-1.3854-0.58804i	-0.69362+0.8802i	0.29978+0.52282i	-0.083426+0.13806i	0.15791+0.39156i	0.84904-0.46381i	-0.73913-0.85189i	-1.0449+0.44254i	-1.3969+0.42i	-0.10085+1.1902i	1.3647-0.095961i	0.12928-1.2592i	-0.77971-0.48432i	-0.47417+0.75402i	0.57435+0.27907i	0.40106-0.14905i	-0.28838-0.55204i	-0.14286+0.066956i	-0.19618+0.072591i	0.059818-0.2401i	0.18358-0.030961i	0.026936+0.27817i	-0.01342+0.31784i
-2.77-2.4008i	-3.257+3.7994i	5.1387+4.0078i	4.7962-5.3242i	-6.3611-5.4729i	-5.6246+5.6464i	5.4762+6.0894i	6.0464-4.78i	-4.5446-6.1243i	-6.1969+3.4909i	3.1573+5.9214i	6.173-3.0097i	-2.6098-5.6927i	-5.527+3.0283i	2.5934+5.6314i	2.7546+5.5611i	6.2365-2.6146i	-2.2895-6.7507i	-6.8475+1.9624i	1.5197+7.096i	6.7516-0.37612i	0.57006-6.6962i	-6.3474-1.6556i	-2.8185+5.3628i	4.1179+3.1805i	4.0033-2.442i	-1.2846-3.7944i	-4.1889-0.35213i	-1.2903+4.3336i	3.6431+1.5877i	-2.2706-3.0996i	-3.3815+2.4138i	2.6976+3.2891i	3.2731-1.7744i	-1.7447-3.2538i	-2.8248+0.36072i	-0.6006+2.6922i	2.1274+1.499i	1.8495-1.4324i	-0.95726-2.546i	-2.931+0.30924i	-0.72341+3.2785i	2.945+1.4226i	2.4114-2.4284i	-2.3032-2.7035i	-1.7004-3.4738i	-3.894+1.2628i	0.44888+4.4162i	4.2015+0.26572i	0.77869-4.1447i	-4.3638-1.8036i	-2.3608+4.3061i	4.7461+2.6693i	3.5754-4.8513i	-4.7361-3.7337i	-3.6306+4.9826i	4.4479+3.0142i	2.9118-5.1206i	-4.0781-2.2712i	-0.97226+3.2729i	0.72533+2.2957i	3.0024-1.3844i	-1.8929-3.5685i	-3.7589+1.8336i	2.1913+3.7801i	3.9746-1.8384i	-1.5018-3.6613i	-3.2184+1.0252i	0.46779+3.2751i	2.9477-0.018126i	0.10293-2.6273i	-2.484-0.55953i	-1.073+2.0573i	1.2873+1.2534i	1.205-0.9561i	1.2825-0.45914i	-0.34551-1.4981i	-1.0221-0.13601i	-0.442+1.0492i	0.9099+0.26607i	0.77575-0.62021i	-0.56534-0.79817i	-0.66007+0.80832i	0.79964+0.50256i	0.33806-0.61988i	-0.71111-0.073459i	0.20925+0.20569i	0.64439-0.15634i	-0.48488-0.19294i	-0.42473+0.53637i
-1.8481-1.1737i	-2.1809+1.7402i	2.0676+2.8467i	3.8652-1.942i	-1.4775-4.4486i	-4.4578+0.60304i	-0.49374+4.6507i	4.9666+1.7442i	2.9245-4.2241i	-3.412-3.8841i	-4.5626+1.8647i	0.76223+5.2455i	5.0599+0.44814i	1.883-4.2424i	-3.3079-2.4651i	-2.2672-2.9888i	-3.201+1.1036i	0.2092+2.2894i	1.2147+0.86928i	0.93247-0.17163i	0.86755-0.77186i	-0.057245-1.955i	-2.9192-1.0977i	-2.5481+3.9452i	3.884+3.5845i	5.187-3.8464i	-3.7087-4.8517i	-5.8409+3.3652i	2.5448+6.0244i	4.5224-2.0356i	2.9919-3.2913i	-3.9738-4.1238i	-5.4096+4.2589i	3.7334+5.7447i	5.7298-3.4139i	-1.8838-5.9948i	-5.597+0.92626i	-0.75056+5.399i	3.9737+1.7994i	2.4316-2.8264i	-1.4344-2.4762i	-2.7666+0.44272i	-0.80655+2.1305i	1.1595+1.7868i	1.6677-0.064025i	1.6289+0.60209i	1.5712-0.9954i	-0.12579-2.0232i	-2.0952-1.0904i	-1.914+1.6687i	1.1068+2.7525i	3.1195+0.038865i	1.4844-3.3902i	-3.1157-2.6289i	-3.5054+2.3328i	2.2932+4.2423i	4.0467-1.2581i	-0.81847-4.9053i	-4.3186+0.094704i	0.19179+2.8477i	1.5178+2.1562i	3.1743-1.6471i	-1.6175-3.8318i	-3.9391+1.1146i	0.5378+4.0916i	4.0143+0.010333i	0.69322-4.0436i	-2.9257-1.4191i	-1.9557+2.7055i	1.8746+2.0452i	2.2738-1.292i	-0.42207-2.2956i	-2.2916+0.32497i	-0.26812+1.5331i	1.2245+0.57543i	0.97094+0.63047i	0.34262-0.86067i	-0.37884-0.20558i	0.087196+0.64235i	0.51116-0.50583i	-0.2108-0.65127i	-0.84383+0.14673i	0.24735+1.3318i	1.8754+0.029324i	-0.16892-1.9248i	-2.0458-0.23639i	0.056379+1.582i	1.7636+0.2153i	-0.13188-1.3134i	-1.2495-0.18966i
1.2029-0.78418i	-1.7544-2.2724i	-3.2462+2.2403i	2.8254+3.5695i	4.7297-3.1665i	-2.0793-5.3223i	-6.0429+1.412i	1.8044+6.8333i	7.6336-0.62631i	0.65005-7.5967i	-7.2896-2.569i	-3.9421+7.385i	6.127+4.5253i	5.3423-5.1928i	-3.7631-5.6106i	-2.6548-5.2517i	-5.0501+1.5941i	1.1036+4.0075i	2.4062-0.24118i	-0.50556-1.3494i	-0.13618+0.87509i	1.889-0.6962i	-1.7646-3.208i	-4.8858+2.5379i	2.6765+5.622i	7.3788-3.2828i	-3.6318-6.3921i	-7.4283+3.6505i	3.1854+6.8061i	4.7665-2.919i	6.0799-1.6254i	-1.9897-8.0799i	-10.296+2.0858i	1.1986+10.303i	10.541-0.50414i	1.2939-10.219i	-9.033-2.7389i	-4.5818+8.0421i	5.4207+5.7461i	6.3987-2.9533i	-0.71293-5.8451i	-5.7373-1.6091i	-3.1406+4.1072i	2.01+4.5063i	4.5969-0.058091i	4.2841+1.7328i	3.5014-3.204i	-1.6871-4.5317i	-4.8823-0.38138i	-2.034+4.1288i	3.7364+3.8379i	4.6926-1.9261i	-0.40974-5.3371i	-5.7337-1.463i	-2.6933+4.6631i	4.4489+3.9082i	3.9812-2.9717i	-2.4255-4.8019i	-4.881+1.0731i	0.59528+2.9847i	1.6112+1.9242i	2.8348-1.3991i	-1.1428-3.1997i	-3.0815+0.28425i	-0.77362+3.0323i	2.7465+0.84093i	1.9607-2.9797i	-0.97677-2.7362i	-2.8165+0.36708i	-0.62341+2.5576i	2.4426+0.83365i	1.9175-1.7272i	-1.1179-1.7762i	-1.8919-0.14328i	-0.55394+1.8454i	-1.1707+1.5496i	0.72545+1.4334i	1.7329+0.015797i	0.80052-1.3188i	-1.0405-1.5849i	-1.7026+0.4004i	0.065084+1.5876i	1.7854+0.68539i	1.464-1.0286i	-0.81613-2.0254i	-2.2786-0.099215i	-0.12646+2.1069i	1.9948+0.5704i	0.45937-1.8058i	-1.5412-0.80198i
4.2656-2.4481i	-3.2437-5.8673i	-7.5641+3.7998i	3.5129+7.9476i	8.9481-3.6619i	-0.9798-9.2658i	-8.7818-0.33013i	-0.95151+8.385i	7.4913+2.3131i	3.4574-6.233i	-4.1493-4.9455i	-5.338+2.6574i	0.49575+4.3558i	3.0993+1.0118i	1.5741-1.7674i	1.9016+0.35317i	2.3372-1.5264i	-0.17104-3.7538i	-5.3258-1.1164i	-2.9587+5.8149i	5.6743+5.197i	7.2712-5.0241i	-4.4633-9.4905i	-11.629+2.6152i	1.3063+11.58i	12.999-0.58591i	-0.56408-10.974i	-11.524-0.38511i	-0.611+9.4588i	6.6251-0.14736i	2.7008-0.093458i	-0.24443-4.0687i	-5.3428+0.70249i	0.47314+5.7322i	6.3205-0.31744i	0.093324-7.3187i	-7.1682-1.1334i	-1.9336+7.2903i	6.1623+3.153i	4.2139-5.0505i	-4.3324-4.4341i	-5.5652+2.6084i	1.616+5.3669i	5.0426+0.066486i	1.2338-4.5204i	2.2503-3.6872i	-2.8628-3.0398i	-3.5115+1.9614i	0.83154+3.6197i	3.0187-0.51503i	0.62808-2.7472i	-2.3157-0.35313i	-0.54037+2.2258i	1.5051+0.45807i	0.32729-1.3015i	-1.1551+0.55984i	0.79941+0.77853i	0.52733-1.3325i	-1.804-0.49463i	-0.15313+1.2899i	0.84312+1.4639i	1.9459-0.89685i	-1.185-1.7383i	-1.5279+0.75156i	0.18416+1.1743i	1.058-0.96733i	-0.011866-1.1773i	0.074799-0.43867i	-0.30557-0.88163i	-1.1147+0.10606i	-0.12707+0.47743i	0.74746+0.70274i	0.97969-0.54676i	-0.36842-1.4129i	-1.3895+0.2509i	-1.6661+0.21696i	-0.30303+1.6383i	1.5058+0.80619i	1.035-1.2217i	-0.73861-1.542i	-1.5469+0.24979i	0.046676+1.446i	1.5278+0.41245i	0.98968-0.65877i	-0.25142-1.3728i	-1.6165-0.24974i	-0.37381+1.5998i	1.5218+0.62684i	0.53922-1.4674i	-1.1871-0.62887i
3.0162-3.0852i	-3.6412-4.0711i	-5.021+4.4794i	3.8518+5.3442i	5.7634-4.1769i	-2.1771-6.2619i	-5.7045+1.4167i	0.19623+5.1957i	4.2799+0.67579i	1.3025-3.4834i	-1.9542-2.3252i	-2.4134+0.72875i	-0.53681+1.7128i	0.42476+1.9618i	1.6891+0.74416i	1.7696+2.2562i	3.9484-1.0746i	0.22313-4.9338i	-5.7103-1.5734i	-3.3303+5.9404i	5.2208+5.164i	6.6922-4.2699i	-3.2468-8.6892i	-10.028+1.1972i	-0.19168+9.6932i	10.575+1.3961i	1.5521-9.3231i	-9.4669-2.4474i	-2.4655+7.8123i	5.7317+1.2441i	-1.9894-1.1735i	-1.8104+2.0303i	2.3521+3.034i	3.5055-1.6769i	-1.0378-4.1294i	-4.8355-0.94732i	-2.1323+4.5705i	4.3988+3.5935i	4.7169-3.4696i	-2.1124-5.6931i	-6.7255+0.82313i	-1.198+6.8067i	6.6077+2.8923i	4.7141-5.3392i	-3.7894-6.0259i	-1.7667-6.9653i	-7.6057-0.56827i	-2.6413+7.2547i	6.1487+4.8867i	5.7833-4.8826i	-2.9163-7.2651i	-7.7148+1.4985i	-0.065346+8.3497i	8.1242+2.08i	3.1882-6.7976i	-6.3936-3.1188i	-3.1354+4.7306i	3.9945+3.0531i	2.9235-2.6861i	-1.4505-1.5859i	-0.87865+1.2118i	1.4483+0.72022i	0.40368-1.2466i	-1.0367-0.22198i	-0.2419+0.64012i	0.38375-0.52097i	-0.42683-0.13146i	-0.32827+0.51838i	0.53949-0.5375i	-0.25735-0.79672i	-0.97445-0.25915i	-0.58823+0.94291i	1.0426+0.91859i	1.0959-0.58891i	-0.35661-0.99379i	-0.15299-0.95608i	-0.867+0.02903i	-0.43094+0.85084i	0.52325+0.4414i	0.85172-0.50397i	-0.12288-0.85853i	-1.1062+0.0142i	-0.24071+1.0438i	1.2822+0.86656i	0.98491-1.1194i	-1.2585-1.0596i	-0.84496+1.0604i	1.2897+0.74356i	0.61917-0.94722i	-0.82773-0.37457i
-0.98624-1.9164i	-2.5131+0.97218i	1.1159+3.5552i	3.3148-0.72685i	-0.56473-3.7366i	-4.0651-0.52484i	-1.1047+3.8798i	2.978+1.5911i	2.5182-2.543i	-1.6703-2.9582i	-3.4802+0.5685i	-0.73413+3.5669i	3.5777+1.9282i	2.6746-2.5403i	-1.9153-3.2431i	-0.81203-3.7062i	-3.9171-0.27189i	-1.1406+3.4365i	2.7594+2.17i	2.2375-1.8502i	-0.96958-2.7522i	-2.98+0.43746i	-0.28836+2.2891i	2.1133+1.2473i	1.3188-1.7159i	-1.0304-1.3506i	-0.7956+0.095142i	-0.35277+1.1417i	0.78453+0.85825i	1.0623-0.7921i	-1.8204-3.0769i	-3.9486+2.3248i	2.9302+4.922i	5.0056-2.6774i	-2.2577-5.3969i	-5.4081+1.2899i	0.41026+5.4205i	4.7425+0.56033i	1.6904-4.3555i	-3.3268-2.4601i	-3.1765+2.3416i	1.4594+3.6853i	3.7754-0.23128i	1.0344-3.3125i	-2.7053-1.9147i	-1.7627-2.7854i	-3.3628+0.49118i	-0.3254+3.2288i	3.0351+1.4834i	2.2458-2.3892i	-1.6199-2.9533i	-3.6135+0.6199i	-0.25637+3.8994i	4.2194+1.409i	2.242-3.5127i	-3.3902-2.3582i	-2.5605+2.8698i	2.7+2.7632i	3.0907-2.1315i	-1.3168-1.9208i	-1.1688+0.90234i	1.3621+0.99762i	1.1184-1.7614i	-1.7361-0.99835i	-0.88096+1.8595i	1.5103+1.0417i	0.79372-1.3714i	-1.7999-0.80203i	-1.0081+1.3788i	1.4203+1.0371i	1.2015-0.95783i	-0.84241-1.7162i	-1.4951+0.87386i	0.67293+1.9636i	1.8439+0.022835i	2.0636-0.11175i	0.35456-1.8085i	-1.8738-0.64983i	-0.99305+1.5883i	1.6252+1.0023i	1.476-1.2173i	-1.5352-1.5607i	-1.7707+1.2788i	1.0966+2.0271i	1.6588-0.85125i	-0.99487-1.8065i	-1.166+0.66594i	1.1315+1.021i	0.97473-0.55135i	-0.7018-0.47384i
-1.7064-0.4989i	-1.0362+1.705i	1.632+1.6051i	1.6964-1.0642i	-0.69494-1.5946i	-2.4054-0.56917i	-1.5512+1.8905i	1.0914+2.1347i	3.4325-0.43264i	1.2883-3.5151i	-4.0468-2.5411i	-4.6594+3.4215i	2.9266+6.0453i	7.3642-1.3285i	0.95248-7.8789i	2.9071-8.0383i	-8.0896-5.5977i	-7.3959+6.7066i	4.5843+9.1471i	9.7279-2.7526i	0.034846-10.274i	-10.6-1.9573i	-4.2168+10.145i	9.2044+7.1728i	7.5284-7.5158i	-6.4393-8.4397i	-6.6967+4.8314i	3.5824+7.5668i	6.0559-2.1655i	-1.1591-4.0541i	2.2235-2.8489i	-3.1259-2.5925i	-3.0064+3.0766i	2.4323+2.7309i	2.8909-1.9249i	-0.72687-2.505i	-2.0956+0.33725i	-0.91114+1.4408i	0.87731+1.2006i	1.7655+0.20976i	1.0411-1.7108i	-1.077-1.7224i	-2.0877+0.52251i	-0.20825+2.4249i	2.3511+1.0501i	1.6973+1.8476i	2.5483-1.3444i	-0.26953-2.9979i	-2.886-0.88299i	-1.3269+2.5525i	2.09+2.5887i	2.672-1.6592i	-1.1499-3.3109i	-3.2667+0.13215i	-0.19543+2.9428i	2.8203+0.44856i	0.72784-1.9417i	-1.5057-0.50847i	-0.54237+0.75345i	0.48608+0.16738i	1.2239-0.32476i	0.38729-1.9558i	-2.3157-0.86015i	-1.1513+2.0965i	2.2895+1.9216i	2.281-1.7495i	-1.3854-2.883i	-3.0513+0.76296i	0.2984+3.5717i	3.662+0.60781i	1.4557-3.1331i	-2.7413-2.3567i	-2.7565+2.0993i	1.5682+3.1473i	3.0527-0.32292i	3.2621-0.17933i	0.53932-3.0456i	-2.5281-0.96521i	-1.561+2.225i	1.8286+1.4399i	1.8132-1.2114i	-1.1889-1.89i	-1.7703+0.91375i	0.4462+1.8187i	1.3368-0.42686i	-0.4773-1.4219i	-0.82615+0.21691i	0.53455+0.86564i	0.82971-0.1835i	-0.42584-0.35694i
1.1442+1.0142i	1.4053-1.9572i	-3.0167-1.8824i	-1.9873+3.5392i	4.0191+2.8391i	3.4743-4.6195i	-4.8269-4.3473i	-5.3218+4.2079i	3.7332+6.1557i	7.8495-2.3408i	-1.2163-8.8019i	-10.175-1.3981i	-3.1375+9.7792i	9.6517+5.7393i	8.23-8.3039i	9.9452-6.6413i	-4.6441-12.35i	-13.122+1.9892i	-1.3839+13.425i	12.818+3.3646i	6.4312-11.402i	-10.25-8.5314i	-10.504+9.0486i	6.6057+12.766i	12.126-4.0895i	-2.6572-12.571i	-10.098+1.9507i	0.41094+10.297i	7.983+0.29616i	0.29512-5.08i	3.1277-1.9086i	-1.8656-3.8871i	-4.6551+1.5281i	1.032+4.6257i	4.6313-0.33727i	0.80215-4.6021i	-4.0845-1.4815i	-2.6189+3.0994i	2.2041+3.2789i	3.9066-0.68498i	0.57935-3.7573i	-3.3491-1.687i	-2.5396+2.4919i	1.4659+3.3082i	3.6492-0.23884i	2.9962+1.2688i	2.3481-2.7554i	-1.7867-3.0338i	-3.6689+0.40955i	-0.465+3.516i	3.3908+2.083i	2.9323-2.6515i	-1.9648-3.8378i	-4.4559+0.90522i	0.14222+4.3922i	4.519+0.15578i	0.90859-3.9559i	-3.7124-0.79473i	-1.4311+2.8339i	2.0566+0.81048i	3.0028-2.1109i	-1.7598-4.2591i	-5.5655+2.1223i	1.7602+5.4832i	5.8659-1.1803i	-0.2235-5.8631i	-5.2729-0.83023i	-1.3577+4.7559i	4.3927+2.4895i	3.1751-3.3056i	-2.4849-3.6447i	-3.9451+1.715i	0.70894+3.4276i	3.332-0.13066i	0.33848-2.6716i	0.73121-2.2808i	-1.8178-1.073i	-0.84178+1.7338i	0.96604+0.94589i	0.77409-0.85299i	-0.60579-0.5798i	-0.27644+0.57406i	0.58098+0.14015i	0.010832-0.45742i	-0.39882-0.17537i	0.019865+0.48947i	0.33403-0.11453i	-0.22226-0.25631i	-0.039267+0.18654i	0.11425+0.15279i
1.3951+1.8554i	2.8335-2.0028i	-2.8445-3.361i	-3.291+3.1356i	3.5167+3.6377i	4.4029-3.9668i	-4.32-4.5494i	-5.0691+3.921i	3.305+5.6979i	6.8543-2.5097i	-1.9266-7.9816i	-9.3742-0.12977i	-1.4781+9.2989i	9.664+4.1567i	5.9208-8.7678i	7.9034-7.8715i	-6.0197-10.072i	-11.289+3.8799i	1.0709+12.325i	11.966+0.92032i	3.6972-11.177i	-10.022-5.8487i	-7.5787+9.1446i	7.2297+9.3493i	9.1115-4.6608i	-3.1705-9.2104i	-7.5256+2.1414i	0.90205+7.0849i	5.3665-0.03455i	0.11275-3.0379i	-1.1768-2.7848i	-3.4266+1.2251i	1.2865+3.6033i	3.7722-0.47965i	-0.25061-3.6026i	-3.1658-1.0091i	-1.7204+2.5749i	1.5798+2.115i	2.5918-0.47539i	0.58269-2.2525i	-1.6257-1.2764i	-2.0832+1.2i	0.16353+2.0662i	2.1537+0.9222i	1.7046-1.4876i	1.9458-0.5407i	0.056253-2.435i	-2.2092-0.90898i	-2.227+1.5969i	0.88429+2.7025i	3.0988+0.16405i	1.3536-2.745i	-2.3718-2.293i	-3.2824+2.112i	1.3444+3.9304i	4.2895-0.80786i	-0.34508-4.2963i	-4.3791+0.027153i	-0.24774+3.6873i	2.7229+0.47132i	1.9806-2.6279i	-2.8179-2.8764i	-4.0903+3.7442i	3.4907+4.2796i	4.614-3.6823i	-3.1659-4.8218i	-4.8444+2.3471i	1.7048+4.8371i	4.8864-1.0446i	-0.29692-4.5636i	-4.6951-0.34258i	-0.96672+4.6593i	4.2991+1.1109i	1.5277-4.0863i	-3.7056-2.0175i	-3.6073-2.0192i	-2.3579+3.6001i	3.2377+3.0544i	3.0859-2.986i	-2.5757-3.0109i	-3.2089+2.0027i	1.9714+3.5073i	3.2335-1.6108i	-1.0537-3.1169i	-2.4839+0.60658i	0.64555+2.329i	1.392-0.3477i	-0.56132-1.4113i	-0.59093+0.35034i	0.37569+0.33839i
-2.7457+0.61878i	0.3714+3.5681i	4.4168+0.48309i	1.6609-4.1305i	-3.8659-3.2148i	-4.2407+2.2965i	0.3279+5.5983i	5.7492+1.8982i	3.9772-5.2671i	-3.7702-6.2089i	-8.509+1.6641i	-1.6878+9.6474i	9.8062+4.7371i	8.3722-8.1045i	-6.1553-10.69i	-2.8882-12.815i	-13.706-0.61384i	-4.4622+13.163i	11.563+8.6899i	10.534-8.8181i	-5.3897-12.743i	-13.187+2.4561i	-0.73114+13.407i	12.771+3.6902i	5.3412-10.277i	-8.4201-6.2757i	-5.7427+5.9058i	4.5305+5.4453i	4.525-2.6026i	-1.2756-2.4657i	-3.5213-4.5875i	-6.1202+3.6374i	3.9673+6.768i	6.8945-2.5919i	-1.7041-6.8559i	-6.1755+0.18687i	-1.3105+5.2033i	3.6159+2.4584i	3.4183-1.9227i	-0.36666-3.2712i	-2.5085-1.0137i	-2.2897+1.8097i	0.21134+2.277i	2.5515+1.3787i	2.1652-1.4518i	2.771-0.56112i	0.61646-3.2797i	-2.5995-2.1249i	-3.6006+1.5193i	0.38556+4.0881i	4.186+1.2483i	2.6963-3.7768i	-3.0059-4.2401i	-5.4809+1.8456i	0.57672+5.9992i	6.1859+0.94714i	1.0909-5.5384i	-5.5308-2.0888i	-1.6429+4.3505i	3.0011+1.8488i	0.17176-1.5721i	-1.8195-0.30933i	-0.58381+2.3721i	2.1432+0.75088i	0.65314-2.486i	-2.5551-0.5417i	-1.023+2.0887i	1.96+0.83212i	1.1036-2.1982i	-1.9965-1.1538i	-1.8038+2.3001i	2.1806+2.1067i	2.5795-2.0382i	-1.8458-3.0946i	-3.3858+1.2985i	-3.7999+0.9067i	0.16137+4.7947i	4.5309+0.63823i	1.4485-4.612i	-4.2015-1.7952i	-2.4357+3.5081i	2.9985+2.9172i	2.8036-2.3195i	-1.6487-2.8965i	-2.3352+1.1006i	0.67985+1.8296i	1.0097-0.1148i	-0.072211-1.0509i	-0.15154-0.089464i	-0.065302-0.10071i
